date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CO_mean,SO2_mean
2011-06-16,8.878499999999999,13.108,4.22925,,11.3855,3.875,0.333
2011-06-17,6.28125,8.17725,1.89575,,10.280999999999999,2.792,0.042
2011-06-18,10.05225,13.5,3.448,,13.5,3.833,0.125
2011-06-19,8.34375,11.594000000000001,3.25,,13.69775,3.833,0.0
2011-06-20,12.95175,16.37875,3.42725,,20.70825,4.125,0.773
2011-06-21,16.0415,23.032249999999998,6.990500000000001,,33.479,5.333,0.375
2011-06-22,15.007,20.825499999999998,5.818499999999999,,23.78025,4.261,0.087
2011-06-23,11.7795,19.93475,8.155249999999999,,11.57175,4.174,0.042
2011-06-24,7.6665,16.21875,8.552,,8.41675,3.125,0.0
2011-06-25,8.3855,12.46875,4.08325,,6.83325,3.5,0.083
2011-06-26,7.09375,10.0,2.90625,,5.22925,3.083,0.0
2011-06-27,14.58425,22.64875,8.0645,,6.57275,4.042,0.0
2011-06-28,15.104,25.698,10.593499999999999,,18.6955,5.13,0.083
2011-06-29,15.187,20.65925,5.47275,,26.96875,4.957,0.5
2011-06-30,9.0,19.09375,10.09375,,14.09375,3.625,0.167
2011-07-01,8.56325,14.48,5.91675,,8.375,3.417,0.167
2011-07-02,9.0,13.948,4.948,,20.2395,3.417,0.167
2011-07-03,6.875,9.71875,2.8435,,13.55225,2.75,0.25
2011-07-04,11.4925,17.844250000000002,6.3515,,18.2,4.0,0.182
2011-07-05,14.183250000000001,23.860500000000002,9.6775,,12.65075,5.87,0.0
2011-07-06,10.321,16.83925,6.51825,,14.0625,4.261,0.458
2011-07-07,12.23,16.735500000000002,4.50575,,25.01425,4.167,0.667
2011-07-08,15.52075,24.5935,9.07275,,28.41675,5.458,0.5
2011-07-09,8.57275,15.448,6.875,,18.552,4.208,0.667
2011-07-10,7.781499999999999,12.812249999999999,5.03125,,18.479,4.208,0.25
2011-07-11,10.657,16.7125,6.055,,24.89275,3.667,0.227
2011-07-12,14.08325,21.52075,7.437250000000001,,32.77075,4.208,0.792
2011-07-13,11.245249999999999,17.8915,6.64625,,25.589,4.0,0.417
2011-07-14,12.03125,17.73975,5.7085,,25.3645,4.042,0.458
2011-07-15,10.96875,16.70825,5.7395,,20.94775,4.208,0.458
2011-07-16,10.8645,14.5,3.63525,,33.7185,3.542,0.583
2011-07-17,8.65625,12.21875,3.5625,,33.375,3.792,0.583
2011-07-18,6.61825,9.07925,2.4610000000000003,,26.54175,2.958,0.591
2011-07-19,5.885,9.41675,3.5315000000000003,,21.433500000000002,2.125,0.25
2011-07-20,6.51,14.2635,7.753500000000001,,7.93475,3.273,0.0
2011-07-21,5.5625,12.3335,6.771,,12.32325,3.167,0.0
2011-07-22,7.66675,13.91675,6.249750000000001,,10.375,2.958,0.083
2011-07-23,7.948,15.624749999999999,7.67675,,8.21875,3.75,0.0
2011-07-24,4.0835,7.67725,3.59375,,8.677,2.5,0.375
2011-07-25,12.37325,19.7015,7.3285,,22.1145,4.0,0.455
2011-07-26,13.92725,20.53125,6.604,,28.18725,4.25,0.667
2011-07-27,13.622,22.0795,8.4575,,26.67725,5.043,0.167
2011-07-28,11.57325,16.771,5.19775,,18.527250000000002,4.333,0.292
2011-07-29,12.47925,18.11475,5.63525,,22.8925,4.565,0.083
2011-07-30,9.427,16.01025,6.5835,,12.38525,4.5,0.0
2011-07-31,6.052,11.40625,5.354,,13.4585,3.875,0.0
2011-08-01,8.23875,15.604000000000001,7.365,,13.25,3.75,0.0
2011-08-02,9.486,15.405999999999999,5.92,,21.0315,4.042,0.167
2011-08-03,8.369250000000001,13.14475,4.77475,,18.8645,3.391,0.417
2011-08-04,6.6754999999999995,11.45425,4.779,,11.25375,2.478,0.0
2011-08-05,6.5105,13.7605,7.25,,15.750250000000001,2.792,0.167
2011-08-06,10.08325,15.0,4.9165,,24.3855,3.625,0.583
2011-08-07,8.354,12.4895,4.1355,,28.286250000000003,3.583,0.75
2011-08-08,9.753499999999999,13.76175,4.0085,,39.15325,3.609,0.318
2011-08-09,11.3575,16.7005,5.3427500000000006,,27.84825,4.083,0.13
2011-08-10,10.7955,16.80375,6.00825,,20.57675,4.522,0.458
2011-08-11,7.8805,13.2395,5.359,,14.36125,2.917,0.0
2011-08-12,12.03125,19.83325,7.802,,27.302,4.958,0.042
2011-08-13,7.52075,11.1875,3.6665,,30.15625,4.75,0.542
2011-08-14,7.04175,10.32275,3.28125,,30.97925,3.833,0.875
2011-08-15,6.287,10.15975,3.87225,,25.0625,3.833,0.182
2011-08-16,7.86475,12.8855,5.021,,21.552,4.292,0.0
2011-08-17,11.64325,18.46875,6.8255,,27.48975,4.957,0.333
2011-08-18,12.57975,20.43075,7.85075,,28.7605,4.792,0.208
2011-08-19,10.521,16.979,6.45825,,7.272,4.208,0.118
2011-08-20,8.78125,13.33325,4.552,,8.68775,3.125,0.0
2011-08-21,8.854,14.802,5.948,,6.948,3.708,0.0
2011-08-22,10.270500000000002,19.0265,8.755749999999999,,5.875249999999999,3.652,0.0
2011-08-23,14.14575,23.03125,8.88525,,11.896,4.583,0.0
2011-08-24,11.18375,18.490000000000002,7.306,,22.3435,5.0,0.0
2011-08-25,14.7605,25.85725,11.09675,,21.25,4.958,0.083
2011-08-26,10.64575,16.6145,5.968999999999999,,12.47925,3.833,0.0
2011-08-27,8.073,13.1355,5.0625,,11.073,3.458,0.083
2011-08-28,5.72925,8.04175,2.3125,,8.073,2.625,0.083
2011-08-29,7.585,11.55575,3.971,,9.7065,3.083,0.0
2011-08-30,7.83375,13.585249999999998,5.752,,9.293,3.25,0.083
2011-08-31,8.368,16.00675,7.6385000000000005,,13.448,3.087,0.0
2011-09-01,7.71875,18.146,10.427,,17.5105,3.125,0.125
2011-09-02,4.26025,8.875250000000001,4.6145,,22.4375,1.917,0.0
2011-09-03,2.469,5.229,2.7605,,27.448,1.792,0.042
2011-09-04,3.1145,4.83325,1.7189999999999999,,22.6355,1.875,0.042
2011-09-05,7.16175,12.298250000000001,5.13625,,18.8125,2.875,0.318
2011-09-06,9.09775,14.93475,5.83675,,5.63025,3.391,0.0
2011-09-07,11.7975,18.487499999999997,6.68975,,7.031000000000001,3.391,0.417
2011-09-08,12.32275,16.51025,4.1875,,16.2605,3.917,1.083
2011-09-09,15.843499999999999,21.27075,5.42725,,33.54175,5.542,1.167
2011-09-10,10.8125,17.1145,6.30225,,19.125,4.833,0.75
2011-09-11,9.646,14.28125,4.6355,,19.10425,4.458,0.333
2011-09-12,12.39875,20.71775,8.318999999999999,,27.979,4.708,0.318
2011-09-13,14.7395,23.4895,8.75,,29.20825,4.958,0.583
2011-09-14,10.60675,16.545749999999998,5.93925,,16.8645,3.696,0.333
2011-09-15,11.6145,16.823,5.20825,,34.2915,3.958,0.333
2011-09-16,14.07275,23.45825,9.3855,,49.1045,4.958,0.583
2011-09-17,11.677,23.02075,11.34375,,24.8435,4.583,0.625
2011-09-18,8.58325,15.90625,7.32275,,19.92725,3.833,0.792
2011-09-19,8.35625,14.775500000000001,6.4190000000000005,,7.52075,3.875,0.0
2011-09-20,9.99825,20.04325,10.04475,,4.0345,3.75,0.0
2011-09-21,6.68375,13.75025,7.06625,,4.34,3.045,0.0
2011-09-22,12.2915,21.3855,9.094000000000001,,6.35425,4.042,0.0
2011-09-23,8.2605,14.72925,6.46875,,6.72925,3.417,0.0
2011-09-24,8.65625,16.073,7.41675,,6.25,3.708,0.0
2011-09-25,8.03125,13.4585,5.427,,6.3125,3.625,0.208
2011-09-26,13.031,23.155250000000002,10.124500000000001,,11.302,4.625,0.364
2011-09-27,11.739749999999999,20.302,8.5625,,12.29175,4.5,0.25
2011-09-28,12.22175,21.4165,9.194500000000001,,15.7085,4.696,0.542
2011-09-29,10.448,18.13525,7.6875,,10.62525,3.625,0.0
2011-09-30,13.5415,23.792,10.249749999999999,,15.90525,4.542,0.083
2011-10-01,5.29175,9.09375,3.80225,,6.375,2.583,0.0
2011-10-02,7.19825,12.15625,4.95825,,4.30225,3.042,0.0
2011-10-03,7.015000000000001,11.54075,4.52525,,5.562749999999999,2.542,0.0
2011-10-04,10.312249999999999,16.81275,6.5,,7.79175,3.708,0.292
2011-10-05,13.072,22.29725,9.2255,,11.84375,4.217,0.292
2011-10-06,12.92725,21.71875,8.79175,,7.40625,4.375,0.0
2011-10-07,8.16675,12.1875,4.02075,,16.125,3.458,0.792
2011-10-08,11.6355,18.54175,6.90625,,28.896,5.375,1.0
2011-10-09,9.698,14.6145,4.91675,,21.7085,4.875,0.792
2011-10-10,11.61075,18.09275,6.48225,,30.80225,5.667,0.636
2011-10-11,12.985,21.86475,8.87975,,23.83775,4.87,0.208
2011-10-12,12.60475,22.44425,9.83925,,14.185749999999999,5.391,0.0
2011-10-13,15.1895,27.215,12.02575,,17.758499999999998,5.708,0.375
2011-10-14,14.7395,24.19775,9.45825,,39.5835,5.667,0.458
2011-10-15,14.3855,24.29175,9.90625,,19.8645,5.583,0.125
2011-10-16,9.00025,14.39575,5.39575,,18.18725,4.542,0.5
2011-10-17,9.4195,15.02525,5.606,,18.47925,4.125,0.045
2011-10-18,7.47825,12.822,5.34375,,9.31275,3.042,0.0
2011-10-19,14.30125,28.46575,14.16425,,11.16675,5.174,0.042
2011-10-20,12.604,22.68725,10.08325,,13.63525,4.833,0.167
2011-10-21,12.7085,22.052,9.34375,,12.86475,4.417,0.0
2011-10-22,14.687249999999999,29.68775,15.0,,11.25,5.458,0.0
2011-10-23,9.927,19.3335,9.40625,,9.89575,4.542,0.0
2011-10-24,14.124500000000001,26.85875,12.734,,8.3125,5.208,0.0
2011-10-25,10.997,23.1175,12.1205,,9.32,4.0,0.0
2011-10-26,7.54375,13.871500000000001,6.32775,,9.83675,3.682,0.0
2011-10-27,14.625,27.41675,12.79175,,16.1145,5.792,0.0
2011-10-28,12.57925,25.105999999999998,12.531,,14.815,5.417,0.348
2011-10-29,12.77075,22.6505,9.85425,,17.8645,5.25,0.458
2011-10-30,14.555666666666667,24.111,7.29175,,22.35425,4.708,0.208
2011-10-31,12.01525,22.32225,10.5235,,17.71875,4.958,0.045
2011-11-01,15.71875,28.39575,12.677,,20.19775,7.083,0.833
2011-11-02,15.294500000000001,29.34525,14.0505,,23.35425,7.217,0.75
2011-11-03,16.54175,31.09375,14.55225,,20.4895,7.292,0.417
2011-11-04,16.79175,30.56275,13.77075,,22.58325,6.667,0.708
2011-11-05,16.0935,26.29175,10.198,,37.41675,5.708,0.583
2011-11-06,11.4375,19.02075,7.58325,,42.031,5.5,0.0
2011-11-07,10.813500000000001,18.47625,7.663,,9.26625,4.739,0.0
2011-11-08,12.186499999999999,23.27825,11.0915,,7.573,4.708,0.0
2011-11-09,13.605999999999998,27.823999999999998,14.218,,8.89175,5.609,0.0
2011-11-10,12.41675,26.76025,14.34375,,9.01025,5.708,0.167
2011-11-11,16.198,42.935249999999996,26.7375,,18.9895,6.917,0.292
2011-11-12,11.8645,22.4375,10.573,,16.771,5.292,0.292
2011-11-13,12.625,23.78125,11.15625,,16.875,6.292,0.25
2011-11-14,13.454999999999998,21.60625,8.151250000000001,,24.14575,5.208,1.0
2011-11-15,6.21375,10.85925,4.64575,,7.01025,2.583,0.0
2011-11-16,9.1915,17.19975,8.00825,,6.07275,3.652,0.0
2011-11-17,10.4895,17.719,7.22925,,7.48975,3.708,0.0
2011-11-18,15.479,33.02075,17.54175,,14.010750000000002,6.125,0.625
2011-11-19,16.33325,37.1875,20.85425,,27.92675,6.792,0.292
2011-11-20,5.7395,10.6355,4.896,,9.7395,3.667,0.0
2011-11-21,8.54075,15.30375,6.7627500000000005,,4.5634999999999994,3.208,0.0
2011-11-22,15.01925,28.64825,13.628499999999999,,6.82,4.87,0.087
2011-11-23,14.217,24.787,10.57,,9.34375,5.174,0.458
2011-11-24,9.677,18.63525,8.9585,,6.3645,4.5,0.417
2011-11-25,10.1325,18.96975,8.83725,,6.08325,4.0,0.083
2011-11-26,15.6355,32.81275,17.17725,,8.823,6.542,0.167
2011-11-27,17.3125,38.42725,21.1145,,10.031,8.458,0.542
2011-11-28,24.94775,66.161,41.21325,,23.0,10.5,0.857
2011-11-29,24.6355,72.02074999999999,47.38575,,31.89575,11.917,0.917
2011-11-30,16.9735,31.692,14.71875,,14.52075,6.043,0.292
2011-12-01,8.16675,14.67725,6.5105,,5.4895,3.167,0.0
2011-12-02,15.325,27.347749999999998,12.022499999999999,,8.0355,4.417,0.292
2011-12-03,13.031500000000001,22.95825,9.927,,4.46875,4.042,0.0
2011-12-04,3.43775,6.0105,2.573,,5.26025,2.292,0.0
2011-12-05,6.615,12.1295,5.5145,,6.33325,2.875,0.0
2011-12-06,23.219,47.60425,24.3855,,11.63525,6.917,0.333
2011-12-07,18.08325,32.7105,14.627,,9.57275,5.478,0.167
2011-12-08,15.10875,26.07625,10.96725,,10.274750000000001,5.304,0.957
2011-12-09,16.61475,30.28125,13.6665,,7.448,5.083,0.167
