date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2017-11-19,194.125,67.33333333333333,51.736,30.666666666666668,5.25,8.139000000000001,11.166666666666666,3.028,3.125,0.333,4.5696666666666665,128.66666666666666,81.58333333333333,37.666666666666664,199.375,1.833
2017-11-20,204.60250000000002,86.0,71.389,52.0,19.6625,26.986,67.417,40.43033333333333,17.125,0.708,17.908666666666665,87.0,43.97233333333333,11.0,224.2645,2.958
2017-11-21,195.348,80.33333333333333,56.81966666666667,34.0,12.4565,20.0,37.840666666666664,17.84033333333333,9.75,0.043,7.499666666666667,113.66666666666667,66.125,16.0,207.80450000000002,1.652
2017-11-22,200.25,97.33333333333333,77.43066666666667,57.666666666666664,26.6875,28.416666666666668,45.93066666666667,17.514,23.375,0.5,34.56966666666667,97.66666666666667,54.083333333333336,4.0,226.9375,2.5
2017-11-23,196.5,99.0,82.81966666666666,50.666666666666664,16.521,18.055333333333333,27.861,9.805666666666667,12.667,0.0,20.944333333333333,143.66666666666666,93.59733333333334,55.0,213.02100000000002,2.167
2017-11-24,196.45850000000002,80.66666666666667,60.611,35.666666666666664,18.125,23.930333333333333,46.0,22.069333333333333,4.542,0.458,4.694333333333334,134.66666666666666,81.34733333333334,34.0,214.58350000000002,2.25
2017-11-25,203.14600000000002,93.66666666666667,66.54166666666667,33.666666666666664,30.8335,26.847333333333335,71.94433333333333,45.09733333333333,11.375,0.125,9.263666666666667,147.0,74.52766666666666,9.0,233.9795,3.75
2017-11-26,196.79149999999998,89.33333333333333,66.27766666666666,32.666666666666664,14.5625,16.028000000000002,21.653000000000002,5.625,13.667,0.417,13.388666666666666,173.0,94.94433333333332,20.333333333333332,211.35399999999998,2.542
2017-11-27,194.83350000000002,90.0,73.98633333333333,53.666666666666664,12.2705,19.75,43.972,24.221999999999998,9.833,0.083,13.278,134.33333333333334,98.23633333333333,52.0,207.10399999999998,2.542
2017-11-28,198.4785,89.66666666666667,80.27766666666666,70.0,24.1305,28.043333333333333,46.04366666666667,18.000333333333334,21.75,1.0,29.222333333333335,140.33333333333334,112.19466666666666,87.66666666666667,222.6085,2.435
