date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-07-24,10.575,13.075,2.5,5.33825,,,205.391,3.208,12.391,217.783
2011-07-25,13.508199999999999,19.4908,5.9826,4.82275,,,204.583,2.625,10.75,215.333
2011-07-26,10.416599999999999,15.5418,5.125,4.60925,,,205.75,3.13,12.083,217.833
2011-07-27,19.075,29.3166,10.2416,7.708375,,,209.833,3.083,13.5,223.333
2011-07-28,15.5,24.958199999999998,9.4582,8.927,,,199.522,2.125,12.391,211.913
2011-07-29,12.7416,17.25,4.5085999999999995,7.40625,,,195.667,2.0,11.875,207.542
2011-07-30,11.5828,14.9094,3.3268,6.31775,,,191.292,2.333,13.0,204.292
2011-07-31,16.8918,20.8418,3.95,8.057125,,,198.708,3.417,14.042,212.75
2011-08-01,13.1572,17.3022,4.1444,5.7765,,,193.696,3.042,11.609,205.304
2011-08-02,12.2604,17.9888,5.7286,5.51725,,,190.792,2.391,11.042,201.833
2011-08-03,9.325,17.05,7.725199999999999,5.7655,,,188.615,1.958,12.846,201.462
2011-08-04,10.575199999999999,17.7,7.1248000000000005,5.8877500000000005,,,,1.833,,
2011-08-05,12.5168,19.9832,7.466800000000001,5.1145,,,174.8,2.667,5.8,180.6
2011-08-06,6.7184,11.2526,4.534000000000001,4.17175,,,179.542,2.167,7.292,186.833
2011-08-07,7.7084,12.5914,4.8832,4.599,,,180.458,1.625,7.542,188.0
2011-08-08,17.6832,24.851999999999997,7.169,8.2345,,,185.542,2.792,11.125,196.667
2011-08-09,15.258600000000001,21.3832,6.1248000000000005,7.952999999999999,,,183.696,2.0,9.783,193.478
2011-08-10,13.1145,18.43725,5.32275,8.171875,,,181.375,1.167,8.375,189.75
2011-08-11,13.0625,16.35425,3.29175,7.63025,,,182.958,2.25,10.958,193.917
2011-08-12,7.40625,10.823,3.41675,5.27075,,,186.25,2.75,9.667,195.917
2011-08-13,13.04625,16.662499999999998,3.61625,7.9375,,,191.13,3.125,12.13,203.261
2011-08-14,12.521,14.45825,1.9375,7.7605,,,187.125,2.042,10.125,197.25
2011-08-15,7.861750000000001,9.484,1.62225,6.083125,,,184.583,1.75,7.875,192.458
2011-08-16,4.88625,5.74925,0.86275,6.117875,,,181.958,1.435,8.333,190.292
2011-08-17,14.04175,18.1145,4.07275,8.1875,,,184.391,1.625,9.217,193.609
2011-08-18,12.6355,20.4585,7.82275,7.822875,,,186.917,1.958,10.0,196.917
2011-08-19,11.936600000000002,14.558000000000002,2.6216,5.466,,,194.217,4.652,12.565,206.783
2011-08-20,9.2804,13.8726,4.5920000000000005,3.95825,,,191.375,3.958,10.917,202.292
2011-08-21,9.9084,12.875,2.9666,3.79175,,,196.333,2.875,10.75,207.083
2011-08-22,10.9292,16.4572,5.5283999999999995,4.776,,,194.375,4.125,12.417,206.792
2011-08-23,13.1166,21.0084,7.8915999999999995,3.8385,,,195.13,5.609,15.217,210.348
