date,SPM_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-07-26,22.79175,97.0,85.958,61.0,7.229,9.271,2.0415,,0.729,280.0,234.917,202.0
2011-07-27,18.79175,100.0,93.0,62.0,6.4765,9.7345,3.258,,0.4375,275.0,225.208,203.0
2011-07-28,13.427,100.0,97.208,73.0,6.8225,11.996500000000001,5.174,,0.348,269.0,218.5,205.0
2011-07-29,10.9165,100.0,98.625,86.0,5.4375,11.957999999999998,6.521,,0.2085,233.0,215.125,203.0
2011-07-30,11.96875,100.0,91.125,59.0,5.521,7.3955,1.875,,0.25,270.0,217.208,190.0
2011-07-31,15.09375,100.0,98.708,95.0,3.8335,6.5,2.667,,0.25,201.0,194.75,189.0
2011-08-01,22.40625,100.0,94.75,85.0,7.1455,11.6875,4.5415,,0.1665,215.0,198.667,182.0
2011-08-02,30.106250000000003,100.0,94.958,85.0,8.091,12.273,4.182,,0.587,224.0,205.75,188.0
2011-08-03,28.36475,100.0,91.792,71.0,7.85,11.734499999999999,3.885,,0.646,267.0,227.083,198.0
2011-08-04,18.802,100.0,85.0,53.0,5.5440000000000005,9.02,3.4755,,0.7725,300.0,246.042,215.0
2011-08-05,18.552,100.0,85.667,64.0,5.125,9.0,3.875,,0.6875,294.0,245.875,202.0
2011-08-06,21.30675,100.0,88.208,67.0,6.6895,11.3315,4.6419999999999995,,1.2515,301.0,247.667,218.0
2011-08-07,17.35225,100.0,86.5,54.0,3.75,5.3125,1.5625,,0.6275,313.0,243.833,207.0
2011-08-08,18.14975,100.0,83.609,57.0,5.4075,8.112,2.7045,,0.741,313.0,245.348,205.0
2011-08-09,27.2395,93.0,75.625,53.0,6.208,8.625,2.417,,1.271,323.0,270.833,213.0
2011-08-10,33.98975,100.0,79.292,57.0,6.2195,7.8919999999999995,1.6729999999999998,,1.0305,328.0,273.917,237.0
2011-08-11,27.55225,100.0,75.875,44.0,6.8105,8.7195,1.9085,,1.182,326.0,273.042,227.0
2011-08-12,27.72925,90.0,68.167,49.0,5.9585,7.375,1.4165,,0.854,315.0,267.5,223.0
2011-08-13,34.6355,95.0,72.167,47.0,5.271,6.4585,1.1875,,0.9375,322.0,270.167,225.0
2011-08-14,42.13525,96.0,77.333,55.0,4.875,5.6875,0.8125,,1.2915,321.0,270.917,229.0
2011-08-15,24.91675,96.0,78.0,54.0,4.4165,5.542,1.125,,0.729,315.0,261.917,218.0
2011-08-16,25.64575,100.0,86.625,55.0,4.604,5.9375,1.3330000000000002,,0.646,312.0,254.875,221.0
2011-08-17,32.04175,100.0,76.958,53.0,6.6434999999999995,8.5625,1.919,,1.1245,321.0,267.708,217.0
2011-08-18,33.76875,100.0,79.667,58.0,7.0085,8.854,1.8459999999999999,,0.6705,325.0,272.583,236.0
2011-08-19,13.461,100.0,97.292,88.0,8.104,11.404,3.2995,,0.9165,235.0,214.25,195.0
2011-08-20,12.729,100.0,90.625,72.0,6.208,9.979,3.771,,0.625,229.0,203.417,175.0
