date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean,SO2_mean
2011-09-01,185.13,11.826,7.083,15.334,8.25,15.0,196.957,0.0
2011-09-02,185.652,7.043,4.625,10.021,5.396,17.354,192.696,0.0
2011-09-03,175.87,4.0,2.75,4.229,1.479,35.833,179.87,0.0
2011-09-04,176.565,3.739,3.646,5.084,1.438,20.646,180.304,0.0
2011-09-05,182.087,9.783,11.218,14.603,3.385,10.272,191.87,0.409
2011-09-06,187.783,10.174,9.458,10.646,1.188,14.584,197.957,0.583
2011-09-07,197.261,15.565,14.812,20.271,5.458,18.25,212.826,0.625
2011-09-08,195.261,12.783,13.333,16.958,3.625,25.771,208.043,1.0
2011-09-09,188.478,14.13,13.375,16.396,3.021,30.208,202.609,1.0
2011-09-10,183.957,12.0,11.196,16.016,4.821,27.458,195.957,0.833
2011-09-11,183.261,14.174,8.86,13.067,4.206,15.25,197.435,0.917
2011-09-12,183.174,15.87,10.236,15.18,4.943,16.229,199.043,0.957
2011-09-13,187.435,16.217,13.073,24.666,11.594,22.979,203.652,1.0
2011-09-14,191.087,15.261,12.829,19.004,6.175,22.792,206.348,0.875
2011-09-15,187.913,12.696,9.854,16.146,6.292,19.354,200.609,1.417
2011-09-16,183.478,7.826,5.938,11.895,5.958,18.875,191.304,0.417
2011-09-17,175.261,5.565,5.625,9.584,3.958,19.875,180.826,0.0
2011-09-18,181.478,8.87,5.73,8.104,2.375,15.834,190.348,0.0
2011-09-19,188.913,12.652,9.106,13.364,4.257,22.833,201.565,1.043
2011-09-20,184.0,13.957,8.772,17.954,9.182,15.266,197.957,0.0
2011-09-21,179.609,6.0,6.163,7.642,1.479,12.084,185.609,0.087
2011-09-22,185.783,6.522,8.093,9.517,1.424,6.938,192.304,0.261
2011-09-23,188.217,16.696,8.504,11.004,2.5,12.396,204.913,0.0
2011-09-24,194.087,12.435,11.703,15.652,3.949,17.229,206.522,0.304
2011-09-25,190.714,12.143,10.057,11.432,1.375,23.292,202.857,0.0
2011-09-26,196.609,26.609,22.161,36.171,14.01,31.417,223.217,0.0
2011-09-27,203.304,24.826,19.248,35.522,16.274,34.084,228.13,0.696
2011-09-28,194.783,16.261,16.331,23.024,6.693,27.375,211.043,1.087
2011-09-29,189.783,12.522,12.913,16.021,3.108,33.02,202.304,0.826
2011-09-30,186.261,17.0,17.848,21.534,3.686,36.896,203.261,0.043
2011-10-01,187.0,9.174,7.55,8.596,1.047,14.375,196.174,0.0
2011-10-02,189.0,8.273,7.564,9.379,1.814,13.146,197.273,0.0
2011-10-03,187.043,7.217,8.63,10.748,2.119,8.25,194.261,0.0
2011-10-04,187.435,9.217,12.916,17.234,4.318,18.146,196.652,0.435
2011-10-05,188.174,19.087,22.06,29.296,7.236,19.862,207.261,0.136
2011-10-06,186.087,9.87,11.23,13.5,2.27,10.854,195.957,0.0
2011-10-07,190.87,14.783,13.02,15.812,2.792,32.875,205.652,0.375
