date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean,PM25_mean
2012-04-16,7.694,8.616,0.922,17.208,1.833,
2012-04-17,6.646,7.812,1.166,18.117,1.142,
2012-04-18,5.188,5.625,0.438,18.15,1.472,
2012-04-19,6.66,7.438,0.778,17.758,1.972,
2012-04-20,8.208,8.854,0.646,19.067,2.136,
2012-04-21,4.542,5.312,0.771,13.658,1.292,
2012-04-22,1.916,2.0,0.084,4.308,0.875,
2012-04-23,4.954,5.448,0.494,11.725,1.208,
2012-04-24,5.646,5.917,0.271,41.883,2.393,
2012-04-25,5.667,6.166,0.5,48.392,3.444,
2012-04-26,3.14,3.161,0.021,15.392,2.0,
2012-04-27,4.896,5.625,0.729,8.508,1.478,
2012-04-28,6.208,6.584,0.375,13.792,2.222,
2012-04-29,5.188,5.375,0.188,24.4,3.417,
2012-04-30,5.991,6.486,0.496,24.692,2.486,
2012-05-01,5.104,5.771,0.666,16.358,1.935,
2012-05-02,8.396,9.958,1.562,20.129,1.64,
2012-05-03,1.976,2.082,0.106,13.475,0.819,
2012-05-04,1.0,1.271,0.27,4.183,0.5,
2012-05-05,1.542,1.542,0.0,22.183,1.361,
2012-05-06,2.542,2.667,0.125,23.983,1.555,
