date,NO2_mean,NOX_mean,NO_mean,PM25_mean
2012-06-26,19.792,25.771,5.979,16.917
2012-06-27,23.907,27.032,3.125,19.773
2012-06-28,21.371,26.4,5.028,17.417
2012-06-29,20.375,28.042,7.666,18.333
2012-06-30,16.48,18.396,1.916,20.75
2012-07-01,11.584,13.146,1.562,13.417
2012-07-02,17.066,21.37,4.304,10.708
2012-07-03,23.542,27.729,4.188,15.875
2012-07-04,20.13,22.652,2.522,16.043
2012-07-05,22.771,27.875,5.104,18.125
2012-07-06,24.396,29.625,5.229,14.333
2012-07-07,9.875,12.062,2.188,5.333
2012-07-08,6.208,6.896,0.688,10.375
2012-07-09,18.87,22.37,3.5,17.5
2012-07-10,20.708,26.875,6.166,20.667
2012-07-11,13.75,16.973,3.223,12.522
2012-07-12,13.416,24.592,11.176,9.917
2012-07-13,19.729,35.438,15.708,18.708
2012-07-14,17.562,24.396,6.834,18.125
2012-07-15,7.375,10.104,2.73,9.542
2012-07-16,6.978,11.348,4.37,5.75
2012-07-17,14.208,20.521,6.312,11.708
2012-07-18,22.236,31.402,9.166,16.043
2012-07-19,12.792,18.416,5.625,13.417
2012-07-20,22.062,25.438,3.375,20.125
2012-07-21,18.666,23.229,4.562,10.208
2012-07-22,13.312,15.062,1.75,13.833
2012-07-23,22.652,27.413,4.761,21.75
2012-07-24,24.25,28.916,4.667,27.167
2012-07-25,15.698,19.098,3.4,29.545
2012-07-26,19.339,24.4,5.062,28.708
2012-07-27,22.938,27.27,4.334,34.792
2012-07-28,18.125,20.896,2.771,28.708
2012-07-29,11.958,13.396,1.438,33.125
2012-07-30,11.761,18.282,6.522,7.167
2012-07-31,14.02,20.334,6.312,8.583
2012-08-01,12.475,17.052,4.578,9.565
2012-08-02,12.479,19.062,6.584,8.75
2012-08-03,14.792,20.375,5.583,10.042
2012-08-04,12.208,15.312,3.104,11.0
2012-08-05,6.916,8.958,2.042,7.958
2012-08-06,15.456,22.174,6.718,8.667
2012-08-07,12.208,18.604,6.396,11.292
2012-08-08,11.348,13.478,2.129,10.818
2012-08-09,18.97,21.496,2.526,20.0
2012-08-10,16.875,18.542,1.666,20.542
2012-08-11,16.98,19.5,2.52,17.75
2012-08-12,11.75,14.02,2.271,12.125
2012-08-13,10.652,14.022,3.37,11.667
2012-08-14,11.214,13.916,2.703,9.261
2012-08-15,7.042,10.708,3.667,5.917
2012-08-16,12.834,18.916,6.084,8.625
2012-08-17,16.062,21.0,4.938,14.958
2012-08-18,16.208,20.479,4.271,12.708
2012-08-19,8.729,10.792,2.062,6.542
