date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean
2011-10-24,15.06,20.909,5.849,15.903,,3.478
2011-10-25,15.131,18.9,3.769,30.128,,3.435
2011-10-26,5.833,6.515,0.682,7.831,,3.458
2011-10-27,21.431,30.792,9.361,17.069,,3.167
2011-10-28,23.542,34.653,11.111,25.278,,3.5
2011-10-29,18.125,22.236,4.111,31.403,,3.542
2011-10-30,11.709,12.958,1.25,45.625,,3.708
2011-10-31,13.652,17.542,3.891,20.903,,3.565
2011-11-01,23.264,36.32,13.056,17.028,,3.792
2011-11-02,32.918,57.07,24.153,31.038,,4.522
2011-11-03,33.667,46.028,12.361,65.0,,4.333
2011-11-04,26.111,44.139,18.028,42.458,,5.375
2011-11-05,31.486,45.028,13.542,78.847,,4.417
2011-11-06,19.834,24.32,4.486,86.25,,4.375
2011-11-07,18.088,26.956,8.868,12.083,,3.696
2011-11-08,19.625,31.139,11.514,11.833,,3.5
2011-11-09,24.82,40.083,15.264,17.167,,3.958
2011-11-10,23.569,39.736,16.167,21.431,,3.875
2011-11-11,22.917,32.444,9.528,26.875,,3.917
2011-11-12,18.375,30.833,12.459,16.611,,3.75
2011-11-13,19.722,31.736,12.014,31.653,,3.958
2011-11-14,16.286,20.687,4.4,26.57,,4.174
2011-11-15,14.778,20.167,5.389,15.111,,3.333
2011-11-16,14.014,21.653,7.639,8.708,,3.5
2011-11-17,18.471,28.174,9.703,13.612,,3.542
2011-11-18,25.847,44.056,18.208,31.667,,4.0
2011-11-19,25.305,62.028,36.722,43.222,,4.042
2011-11-20,12.903,27.292,14.389,15.792,,3.833
2011-11-21,17.437,25.004,7.567,5.07,,3.348
2011-11-22,22.584,38.917,16.333,10.111,,3.542
2011-11-23,26.792,37.431,10.639,27.403,,4.125
2011-11-24,18.36,31.246,12.886,27.816,,4.083
2011-11-25,14.222,17.861,3.639,4.292,,3.625
2011-11-26,21.403,40.278,18.875,16.403,,3.875
2011-11-27,22.722,33.847,11.125,36.75,,3.75
2011-11-28,29.968,94.86,64.892,59.0,,4.318
2011-11-29,37.861,129.194,91.333,58.778,,5.708
2011-11-30,20.953,63.991,43.037,39.042,,4.792
2011-12-01,17.111,25.028,7.916,8.32,,3.5
2011-12-02,16.336,19.549,3.212,9.582,,3.333
2011-12-03,19.611,31.889,12.278,9.319,,3.875
2011-12-04,7.084,9.028,1.945,5.209,,4.167
2011-12-05,14.054,25.652,11.598,5.75,,3.826
2011-12-06,27.056,40.917,13.861,17.681,,3.833
2011-12-07,31.333,64.5,33.167,31.264,,4.458
2011-12-08,25.083,52.111,27.028,33.333,,4.083
2011-12-09,21.683,35.898,14.215,10.464,,4.0
2011-12-10,25.597,45.903,20.306,13.278,,3.75
2011-12-11,23.125,47.653,24.528,15.347,,4.167
2011-12-12,31.906,87.007,55.101,21.584,,4.783
2011-12-13,26.139,47.375,21.236,13.806,,4.458
2011-12-14,29.861,50.93,21.069,27.32,,4.75
2011-12-15,31.27,81.017,49.747,30.36,,5.208
2011-12-16,20.25,32.889,12.639,9.083,,4.542
2011-12-17,17.18,23.028,5.847,5.597,,4.292
2011-12-18,19.5,29.556,10.056,13.945,,4.333
2011-12-19,27.713,65.978,38.264,20.681,,4.478
2011-12-20,18.834,28.264,9.431,7.805,,4.167
2011-12-21,33.615,65.415,31.799,26.304,,4.458
2011-12-22,32.778,77.0,44.222,41.195,,4.75
2011-12-23,7.014,9.0,1.986,6.055,,4.333
2011-12-24,21.611,37.153,15.542,12.625,,4.125
2011-12-25,11.153,14.208,3.055,6.93,,4.333
2011-12-26,15.44,19.025,3.584,4.695,,4.217
2011-12-27,16.32,24.0,7.68,6.278,,3.833
2011-12-28,20.272,33.112,12.841,11.921,,3.826
2011-12-29,29.944,45.875,15.931,24.376,,4.375
2011-12-30,5.972,6.667,0.694,5.208,,4.083
2011-12-31,14.111,17.917,3.805,10.5,,4.208
2012-01-01,12.675,17.386,4.711,6.778,,
2012-01-02,16.458,25.312,8.854,14.931,,
2012-01-03,3.854,3.979,0.125,3.139,,
2012-01-04,5.084,5.896,0.812,1.153,,
2012-01-05,17.521,27.625,10.104,13.403,,
2012-01-06,13.188,16.062,2.875,8.0,,
2012-01-07,28.687,48.9,20.214,14.43,,
2012-01-08,29.688,44.042,14.354,25.125,,
2012-01-09,29.208,45.646,16.438,23.292,,
2012-01-10,22.371,27.996,5.625,6.041,,
2012-01-11,16.139,18.306,2.167,6.042,,
2012-01-12,32.903,43.806,10.903,28.278,,
2012-01-13,33.125,57.847,24.722,29.125,,
2012-01-14,11.593,12.545,0.953,14.403,,
2012-01-15,7.57,8.347,0.778,4.778,,
2012-01-16,35.125,82.944,47.819,13.366,,
2012-01-17,23.092,48.712,25.621,10.995,,
2012-01-18,12.264,13.931,1.667,3.014,,
2012-01-19,26.514,40.194,13.681,10.111,,
2012-01-20,7.972,9.042,1.07,5.486,,
2012-01-21,30.611,59.291,28.68,15.005,,
2012-01-22,24.385,40.419,16.034,23.165,,
2012-01-23,18.764,23.736,4.972,5.403,,
2012-01-24,27.542,44.472,16.931,15.576,,
2012-01-25,21.82,69.306,47.486,17.417,,
2012-01-26,15.097,29.597,14.5,4.25,,
2012-01-27,12.319,15.208,2.889,3.917,,
2012-01-28,12.742,16.214,3.472,5.07,,
2012-01-29,12.111,15.194,3.083,3.861,,
2012-01-30,10.597,11.597,1.0,7.93,,
2012-01-31,33.139,57.222,24.083,20.111,,
2012-02-01,34.736,54.264,19.528,32.07,,
2012-02-02,32.319,40.25,7.931,45.514,,
2012-02-03,7.611,8.028,0.417,5.111,,
2012-02-04,26.061,32.221,6.16,19.875,,
2012-02-05,9.153,10.222,1.069,13.861,,
2012-02-06,21.609,25.767,4.158,10.345,,
2012-02-07,31.097,49.097,18.0,31.014,,
2012-02-08,11.042,14.472,3.43,7.972,,
2012-02-09,7.639,8.153,0.514,5.528,,
2012-02-10,17.736,20.917,3.181,12.611,,
2012-02-11,8.073,9.757,1.684,9.569,,
2012-02-12,18.5,23.778,5.278,19.542,,
2012-02-13,11.561,13.853,2.292,14.332,,
2012-02-14,32.361,54.917,22.556,16.722,,
2012-02-15,28.028,34.111,6.083,20.597,,
2012-02-16,4.431,4.834,0.403,3.764,,
2012-02-17,11.972,15.153,3.181,5.361,,
2012-02-18,23.528,30.509,6.981,16.403,,
2012-02-19,6.236,6.5,0.264,3.681,,
2012-02-20,8.819,10.014,1.194,5.667,,
2012-02-21,11.928,13.616,1.688,6.426,,
2012-02-22,27.778,40.903,13.125,16.25,,
2012-02-23,9.236,9.944,0.708,8.986,,
2012-02-24,8.028,8.82,0.792,17.584,,
2012-02-25,7.337,8.089,0.752,4.07,,
2012-02-26,22.528,28.5,5.972,13.389,,
2012-02-27,32.375,55.695,23.319,26.903,,
2012-02-28,28.792,61.486,32.694,24.93,,
2012-02-29,,,,,,
