date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean
2012-04-29,6.667,6.986,0.319,44.945,0.208
2012-04-30,5.651,6.301,0.651,34.708,0.324
2012-05-01,3.486,4.333,0.847,24.153,0.271
2012-05-02,4.722,5.403,0.681,11.958,0.104
2012-05-03,5.636,6.26,0.624,18.625,0.062
2012-05-04,1.25,1.319,0.069,9.889,0.0
2012-05-05,4.889,5.111,0.222,20.5,0.062
2012-05-06,7.458,7.736,0.278,45.111,0.542
2012-05-07,11.086,14.075,2.989,33.389,0.832
2012-05-08,17.0,19.676,2.675,67.525,1.166
2012-05-09,21.764,25.917,4.153,90.722,1.208
2012-05-10,9.154,9.494,0.339,48.067,0.504
2012-05-11,2.0,2.097,0.097,10.708,0.021
2012-05-12,1.583,1.583,0.0,13.056,0.062
2012-05-13,5.875,6.389,0.514,20.139,0.334
2012-05-14,8.947,10.448,1.5,29.153,0.688
2012-05-15,12.305,13.125,0.82,20.028,0.438
2012-05-16,6.875,6.972,0.097,40.764,1.354
2012-05-17,20.865,25.203,4.338,65.958,3.155
2012-05-18,5.222,5.25,0.028,37.417,0.166
2012-05-19,9.5,10.722,1.222,34.778,0.834
2012-05-20,7.32,7.736,0.417,36.486,1.396
2012-05-21,9.134,10.133,0.999,40.958,0.606
2012-05-22,14.639,15.139,0.5,47.542,0.396
2012-05-23,17.028,19.264,2.236,35.542,0.729
2012-05-24,19.249,23.317,4.068,43.778,2.272
2012-05-25,20.778,22.097,1.32,70.292,2.021
2012-05-26,9.292,9.847,0.556,38.208,0.646
2012-05-27,6.639,6.959,0.32,37.417,1.25
2012-05-28,9.607,11.398,1.79,36.542,0.453
2012-05-29,13.379,15.308,1.929,59.236,0.854
2012-05-30,11.125,12.653,1.528,34.903,1.125
2012-05-31,7.019,8.284,1.265,43.917,0.276
2012-06-01,8.778,10.459,1.68,42.153,0.812
2012-06-02,5.055,6.056,1.0,38.361,0.438
2012-06-03,5.708,6.305,0.597,29.972,1.021
2012-06-04,9.427,11.228,1.801,35.014,0.994
2012-06-05,11.195,12.708,1.514,28.305,0.792
2012-06-06,8.623,9.357,0.735,28.859,0.646
2012-06-07,7.816,8.976,1.16,31.792,0.648
2012-06-08,10.764,13.194,2.43,42.889,0.896
2012-06-09,7.5,7.972,0.472,21.416,0.062
2012-06-10,3.278,3.278,0.0,22.528,0.021
2012-06-11,6.993,8.206,1.213,24.639,0.236
2012-06-12,9.528,10.736,1.208,22.806,0.416
2012-06-13,9.792,11.347,1.555,27.847,0.354
2012-06-14,7.207,8.098,0.892,31.931,0.521
2012-06-15,5.569,6.653,1.083,30.153,0.229
2012-06-16,6.055,6.903,0.847,21.611,0.125
2012-06-17,5.292,5.43,0.139,17.556,0.062
2012-06-18,12.926,14.957,2.03,32.569,0.672
2012-06-19,6.111,7.347,1.236,38.361,0.48
2012-06-20,5.708,6.681,0.972,19.472,0.166
