date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CO_mean
2011-12-08,19.134,26.157,7.023,3.139,23.246,,5.208
2011-12-09,14.115,20.375,6.26,1.208,8.49,,2.75
2011-12-10,10.99,14.563,3.573,1.584,11.198,,2.375
2011-12-11,11.802,16.136,4.333,1.847,15.427,,3.542
2011-12-12,21.865,38.146,16.281,2.194,23.938,,5.167
2011-12-13,24.119,50.203,26.083,3.168,27.249,,4.136
2011-12-14,26.625,67.854,41.229,3.444,23.792,,5.125
2011-12-15,17.042,23.009,5.967,4.203,24.972,,5.043
2011-12-16,9.74,10.833,1.094,1.806,5.698,,1.833
2011-12-17,12.948,15.49,2.542,1.625,6.01,,2.667
2011-12-18,13.719,15.073,1.354,2.722,14.396,,3.583
2011-12-19,16.136,20.354,4.219,2.472,6.979,,2.375
2011-12-20,24.614,40.186,15.572,2.713,10.646,,4.0
2011-12-21,28.636,59.51,30.875,5.042,21.844,,3.667
2011-12-22,14.218,20.271,6.052,4.722,23.416,,3.5
2011-12-23,12.834,17.052,4.219,1.736,5.979,,1.708
2011-12-24,13.031,17.385,4.354,2.806,8.25,,1.917
2011-12-25,5.406,5.833,0.427,1.931,6.083,,0.833
2011-12-26,10.99,14.396,3.406,1.736,4.823,,1.0
2011-12-27,22.562,39.073,16.51,1.972,8.409,,1.542
2011-12-28,28.562,66.573,38.01,2.903,13.427,,1.208
2011-12-29,24.267,45.593,21.326,3.553,18.677,,6.043
2011-12-30,12.01,14.24,2.229,1.958,7.834,,3.958
2011-12-31,12.958,17.552,4.594,1.264,5.729,,4.0
2012-01-01,8.718,10.51,1.792,1.903,13.604,,3.417
2012-01-02,8.427,9.583,1.156,4.347,28.24,,2.75
2012-01-03,5.396,6.26,0.864,1.778,4.281,,1.958
2012-01-04,13.5,16.74,3.24,1.319,5.083,,2.542
2012-01-05,16.573,25.031,8.458,1.528,9.927,,3.0
2012-01-06,13.927,15.771,1.844,2.167,13.583,,3.167
2012-01-07,24.552,41.115,16.562,3.014,22.458,,4.792
2012-01-08,23.448,40.114,16.667,2.181,15.62,,2.833
2012-01-09,14.032,18.49,4.458,4.791,20.062,,3.25
2012-01-10,12.222,16.461,4.239,1.915,4.52,,1.826
2012-01-11,24.552,39.364,14.813,1.666,7.521,,2.167
2012-01-12,26.698,47.146,20.448,3.292,17.834,,3.083
2012-01-13,17.979,22.802,4.823,2.653,23.66,,2.083
2012-01-14,10.094,12.26,2.166,3.209,20.177,,2.792
2012-01-15,14.333,17.771,3.437,2.528,20.666,,2.458
2012-01-16,26.9,44.376,17.476,3.186,29.305,,3.417
2012-01-17,14.823,20.156,5.334,2.972,23.906,,3.958
2012-01-18,20.416,29.948,9.531,1.694,12.365,,4.167
2012-01-19,15.156,20.302,5.146,2.014,11.052,,3.417
2012-01-20,17.479,22.427,4.948,2.458,18.437,,2.5
2012-01-21,20.979,26.031,5.052,3.819,31.49,,3.583
2012-01-22,17.802,23.49,5.688,1.736,14.916,,3.292
2012-01-23,18.312,24.74,6.427,1.695,8.323,,2.292
2012-01-24,17.966,31.359,13.393,2.516,31.198,,4.174
2012-01-25,9.604,12.562,2.958,3.014,15.906,,2.75
2012-01-26,8.927,10.864,1.937,5.917,21.656,,3.125
2012-01-27,8.76,10.396,1.635,2.111,7.344,,2.208
2012-01-28,14.088,19.786,5.698,1.947,7.833,,2.792
2012-01-29,29.417,55.364,25.948,3.75,17.49,,3.708
2012-01-30,30.698,54.063,23.365,4.681,34.334,,4.167
2012-01-31,25.427,39.594,14.167,4.82,44.239,,3.667
2012-02-01,24.292,28.458,4.167,3.625,36.833,,3.208
2012-02-02,20.854,27.073,6.218,2.861,24.01,,4.917
2012-02-03,16.094,19.625,3.531,2.875,11.74,,2.292
2012-02-04,20.156,27.188,7.031,2.694,22.698,,3.208
2012-02-05,17.302,23.427,6.125,3.25,20.188,,3.25
2012-02-06,19.531,28.25,8.719,2.597,20.573,,4.75
2012-02-07,11.586,15.834,4.248,2.411,18.085,,2.87
2012-02-08,10.396,13.636,3.24,1.306,4.458,,2.0
2012-02-09,17.083,22.718,5.635,2.264,11.052,,2.417
2012-02-10,14.354,17.344,2.99,3.681,18.646,,3.917
2012-02-11,10.802,12.604,1.802,2.681,17.677,,2.458
2012-02-12,21.604,31.864,10.261,2.778,19.896,,3.167
2012-02-13,15.104,20.198,5.094,3.097,18.646,,2.833
2012-02-14,28.976,47.126,18.15,3.766,18.136,,2.583
2012-02-15,20.031,26.656,6.625,3.097,17.969,,2.75
2012-02-16,11.333,14.281,2.948,1.514,8.292,,2.125
2012-02-17,13.958,16.427,2.468,2.625,10.916,,2.125
2012-02-18,20.49,27.586,7.097,1.57,15.278,,2.667
2012-02-19,17.219,21.969,4.75,1.194,12.479,,2.167
2012-02-20,15.437,21.052,5.614,1.167,6.083,,2.0
2012-02-21,23.376,32.074,8.698,5.76,28.896,,3.13
2012-02-22,27.312,41.094,13.782,5.736,44.5,,3.917
2012-02-23,13.386,16.542,3.156,4.764,34.292,,2.292
2012-02-24,11.24,12.854,1.614,2.736,11.625,,1.875
2012-02-25,21.458,30.948,9.49,3.069,16.562,,2.25
2012-02-26,23.188,27.479,4.292,5.056,25.24,,2.083
2012-02-27,23.168,33.709,10.541,2.935,25.802,,3.417
2012-02-28,29.972,44.306,14.334,4.236,30.302,,2.333
2012-02-29,,,,,,,
2012-03-01,24.667,32.844,8.177,3.195,24.083,,3.292
2012-03-02,10.927,14.188,3.26,1.458,19.146,,1.875
2012-03-03,13.51,15.885,2.375,2.0,17.136,,1.833
2012-03-04,20.636,27.719,7.083,5.931,41.021,,4.167
2012-03-05,25.876,38.137,12.261,4.889,41.594,,3.958
