date,PM25_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,SO2_mean,THC_mean
2011-08-01,14.375,16.25,8.163,13.063,4.9,170.348,3.13,0.0,173.478
2011-08-02,16.521,20.543,10.531,15.938,5.406,170.609,3.609,0.167,174.217
2011-08-03,14.0,18.741,9.854,17.243,7.39,167.783,2.391,0.125,170.174
2011-08-04,10.48,12.783,8.0,16.375,8.375,164.348,2.174,0.0,166.522
2011-08-05,13.202,17.323,7.069,15.446,8.377,163.174,2.913,0.0,166.087
2011-08-06,16.625,23.117,11.104,15.812,4.708,168.783,6.0,0.083,174.783
2011-08-07,20.979,32.058,9.542,12.281,2.74,172.217,6.13,0.375,178.348
2011-08-08,27.608,39.774,9.975,13.798,3.823,171.087,4.136,0.091,175.136
2011-08-09,22.062,30.975,11.218,16.198,4.979,168.667,5.429,0.0,174.095
2011-08-10,26.25,35.858,14.586,19.988,5.403,172.522,8.0,0.375,180.522
2011-08-11,19.125,20.267,7.826,11.139,3.312,170.261,4.304,0.0,174.565
2011-08-12,34.854,37.633,11.531,15.104,3.573,176.261,8.957,0.0,185.217
2011-08-13,35.0,42.8,8.146,10.594,2.448,171.739,4.565,0.083,176.304
2011-08-14,31.438,45.567,5.646,7.458,1.812,171.783,5.304,0.25,177.087
2011-08-15,27.25,37.883,6.601,8.654,2.052,171.957,5.043,0.087,177.0
2011-08-16,25.583,30.908,8.427,11.604,3.177,175.478,5.696,0.042,181.174
2011-08-17,32.146,41.467,13.688,17.91,4.222,178.609,9.13,0.25,187.739
2011-08-18,27.688,40.942,14.594,21.062,6.469,178.13,9.0,0.083,187.13
2011-08-19,8.812,9.5,8.562,12.917,4.354,175.478,3.435,0.0,178.913
2011-08-20,8.896,9.3,9.625,13.802,4.177,176.261,4.435,0.0,180.696
2011-08-21,7.458,7.992,7.281,8.865,1.584,173.522,4.391,0.0,177.913
