date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2012-02-01,28.083,53.5,25.417,,7.416,49.111,8.667
2012-02-02,13.347,18.445,5.097,,6.042,24.889,6.25
2012-02-03,26.472,39.639,13.167,,6.458,16.722,7.375
2012-02-04,22.806,40.278,17.472,,5.64,27.681,5.792
2012-02-05,31.111,59.611,28.5,,5.375,24.236,7.042
2012-02-06,19.277,29.911,10.633,,5.261,23.416,6.0
2012-02-07,12.778,19.792,7.014,,5.417,20.556,5.583
2012-02-08,17.917,28.764,10.847,,4.458,11.819,5.125
2012-02-09,20.139,29.431,9.292,,4.625,15.861,6.208
2012-02-10,14.083,18.361,4.278,,5.542,21.069,5.958
2012-02-11,15.556,21.736,6.18,,5.292,21.125,5.917
2012-02-12,28.931,45.75,16.819,,5.708,26.875,8.083
2012-02-13,13.593,17.055,3.463,,6.292,25.884,5.444
2012-02-14,29.812,39.271,9.458,,6.417,23.146,
2012-02-15,16.208,18.0,1.792,,5.25,21.021,
2012-02-16,17.021,20.104,3.084,,4.333,12.542,
2012-02-17,17.229,19.125,1.896,,5.333,14.458,
2012-02-18,13.625,14.396,0.771,,4.125,19.604,
2012-02-19,14.312,16.27,1.958,,4.458,12.792,
2012-02-20,13.892,16.522,2.63,,4.13,7.587,
2012-02-21,16.208,18.812,2.604,,7.833,31.979,
2012-02-22,15.375,18.25,2.875,,7.667,48.688,
2012-02-23,8.688,9.104,0.417,,7.208,40.104,
2012-02-24,10.271,11.0,0.73,,5.5,10.438,
2012-02-25,17.48,20.229,2.75,,5.542,16.354,
2012-02-26,25.833,29.208,3.375,,7.0,24.917,
2012-02-27,17.188,19.771,2.583,,5.292,31.25,
2012-02-28,28.458,36.125,7.666,,5.542,27.584,
2012-02-29,,,,,,,
2012-03-01,12.146,13.542,1.396,,6.042,24.4,7.5
2012-03-02,7.354,7.584,0.229,,4.5,21.861,2.5
2012-03-03,8.688,9.02,0.333,,4.875,18.18,4.5
2012-03-04,27.361,41.708,14.347,,7.958,45.445,6.609
2012-03-05,28.722,54.236,25.514,,6.542,43.611,9.583
2012-03-06,28.335,52.429,24.094,,5.565,20.671,7.636
