date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean
2011-12-12,6.847,9.611,2.764,1.226,14.167
2011-12-13,7.114,8.199,1.085,1.241,14.25
2011-12-14,11.431,14.667,3.236,1.554,13.125
2011-12-15,6.222,7.792,1.569,2.239,19.696
2011-12-16,3.879,4.482,0.603,1.277,7.875
2011-12-17,3.82,4.68,0.861,0.789,5.542
2011-12-18,3.639,4.264,0.625,1.0,9.458
2011-12-19,6.533,7.656,1.124,1.367,10.083
2011-12-20,6.819,8.042,1.222,1.604,6.667
2011-12-21,10.181,12.875,2.695,3.256,19.042
2011-12-22,8.125,9.903,1.778,2.851,20.958
2011-12-23,3.986,4.534,0.548,1.336,3.292
2011-12-24,5.417,6.875,1.458,1.506,8.833
2011-12-25,2.444,3.042,0.597,0.873,3.708
2011-12-26,3.375,4.042,0.667,1.087,4.083
2011-12-27,4.18,4.945,0.764,1.077,5.583
2011-12-28,8.181,9.472,1.291,1.631,8.667
2011-12-29,7.091,9.406,2.315,2.736,16.667
2011-12-30,2.417,2.889,0.472,0.754,4.083
2011-12-31,2.667,3.25,0.583,0.756,3.333
2012-01-01,5.986,9.111,3.125,1.369,9.0
2012-01-02,4.294,5.3,1.006,1.808,16.042
2012-01-03,3.028,3.445,0.417,1.429,7.708
2012-01-04,2.931,3.542,0.611,0.875,3.435
2012-01-05,5.833,6.528,0.695,1.059,5.913
2012-01-06,6.546,7.135,0.589,1.298,11.375
2012-01-07,9.597,13.805,4.208,1.952,16.583
2012-01-08,7.722,8.791,1.069,1.542,14.875
2012-01-09,6.958,7.778,0.819,2.724,17.583
2012-01-10,3.722,4.32,0.597,1.02,5.917
2012-01-11,6.764,7.778,1.014,1.226,6.792
2012-01-12,12.74,19.463,6.723,1.936,14.792
2012-01-13,12.458,15.597,3.139,1.983,23.125
2012-01-14,3.389,3.861,0.472,0.887,7.375
2012-01-15,4.778,5.403,0.625,2.054,14.417
2012-01-16,8.554,10.793,2.239,1.619,13.913
2012-01-17,6.542,7.611,1.069,1.512,15.25
2012-01-18,4.444,5.208,0.764,1.214,4.625
2012-01-19,7.0,8.222,1.222,1.525,10.333
2012-01-20,4.681,5.097,0.417,2.211,21.875
2012-01-21,12.014,13.972,1.958,1.952,26.583
2012-01-22,10.248,12.15,1.903,0.795,10.5
2012-01-23,6.347,7.153,0.806,1.012,5.542
2012-01-24,9.778,12.167,2.389,1.682,12.125
2012-01-25,5.569,6.847,1.278,1.47,11.167
2012-01-26,4.261,4.865,0.604,2.446,13.792
2012-01-27,3.945,4.361,0.417,1.375,10.708
2012-01-28,5.611,6.25,0.639,1.286,8.5
2012-01-29,8.097,8.82,0.722,2.552,16.875
2012-01-30,10.236,11.18,0.944,3.671,31.125
2012-01-31,10.472,11.722,1.25,2.083,24.667
2012-02-01,8.627,11.334,2.707,1.504,16.818
2012-02-02,9.18,11.708,2.528,1.164,12.25
2012-02-03,5.625,5.986,0.361,0.982,13.75
2012-02-04,12.847,14.347,1.5,1.571,17.542
2012-02-05,4.709,5.078,0.369,1.36,12.917
2012-02-06,8.264,9.528,1.264,0.708,8.0
2012-02-07,6.307,8.273,1.966,1.437,12.833
2012-02-08,3.389,3.931,0.542,1.052,5.333
2012-02-09,4.542,5.153,0.611,1.195,10.208
2012-02-10,6.569,7.458,0.889,1.607,14.5
2012-02-11,4.963,5.355,0.391,2.227,18.292
2012-02-12,8.778,9.986,1.208,1.24,16.913
2012-02-13,5.028,5.375,0.347,2.482,17.083
2012-02-14,9.709,11.028,1.319,1.405,11.318
2012-02-15,8.618,9.475,0.857,1.22,10.417
2012-02-16,3.194,3.555,0.361,0.887,8.333
2012-02-17,6.708,7.542,0.833,1.435,8.542
2012-02-18,10.805,12.319,1.514,0.758,9.208
2012-02-19,4.736,5.153,0.417,0.622,8.625
2012-02-20,6.528,7.181,0.653,1.119,12.083
2012-02-21,6.961,7.817,0.855,3.119,18.625
2012-02-22,7.347,8.542,1.194,2.452,16.375
2012-02-23,6.264,6.736,0.472,1.845,21.333
2012-02-24,3.417,3.555,0.139,1.03,11.125
2012-02-25,6.094,7.134,1.041,1.119,8.625
2012-02-26,11.819,12.847,1.028,1.863,20.292
2012-02-27,13.736,15.681,1.944,1.631,20.667
2012-02-28,11.167,12.236,1.07,1.606,18.333
2012-02-29,,,,,
