date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,CO_mean
2011-09-22,18.166,35.025,16.858,0.729,4.125,3.208
2011-09-23,14.292,22.317,8.025,0.552,6.583,2.696
2011-09-24,15.053,23.725,8.672,0.625,7.333,2.458
2011-09-25,13.189,16.325,3.136,0.874,11.833,2.458
2011-09-26,22.432,35.27,12.839,1.072,10.542,2.81
2011-09-27,19.692,31.192,11.5,1.26,12.591,2.458
2011-09-28,27.672,45.108,17.436,1.74,15.708,3.75
2011-09-29,26.075,41.542,15.467,2.146,18.417,4.542
2011-09-30,20.117,33.4,13.283,2.094,14.917,4.043
2011-10-01,8.151,13.082,4.931,0.406,7.125,2.042
2011-10-02,11.603,16.591,4.988,0.96,6.083,2.667
2011-10-03,11.917,19.692,7.775,0.459,4.333,1.652
2011-10-04,23.308,37.433,14.125,0.729,7.75,2.708
2011-10-05,19.627,33.474,13.846,0.635,7.333,2.5
2011-10-06,22.483,38.042,15.558,1.188,8.167,3.917
2011-10-07,19.567,30.275,10.708,1.469,27.773,3.739
2011-10-08,22.895,30.848,7.954,1.354,28.667,4.917
2011-10-09,19.317,21.99,2.673,2.508,34.625,5.5
2011-10-10,24.325,30.108,5.783,3.41,38.042,5.917
2011-10-11,37.817,59.567,21.75,3.188,45.125,6.125
2011-10-12,34.099,55.655,21.556,2.302,45.333,6.087
2011-10-13,42.225,64.283,22.058,2.312,40.958,5.708
2011-10-14,31.125,47.683,16.558,1.083,31.125,4.261
2011-10-15,25.081,42.293,17.212,2.854,8.417,5.583
2011-10-16,17.18,21.287,4.107,3.004,22.125,5.167
2011-10-17,25.617,42.5,16.883,2.292,23.125,4.522
2011-10-18,14.825,25.3,10.475,0.558,8.125,2.042
2011-10-19,17.284,28.785,11.5,0.635,10.875,2.083
2011-10-20,21.958,34.142,12.183,1.542,11.542,2.917
2011-10-21,18.242,27.05,8.808,0.604,7.833,2.174
2011-10-22,22.847,35.712,12.865,0.948,6.167,4.708
2011-10-23,14.536,19.888,5.352,1.249,6.0,3.958
2011-10-24,27.492,48.15,20.658,1.954,7.875,4.0
2011-10-25,20.145,38.412,18.267,2.122,11.542,3.875
2011-10-26,14.507,24.867,10.36,0.202,7.75,2.375
2011-10-27,21.342,38.417,17.075,0.427,11.583,2.708
2011-10-28,25.417,37.467,12.05,1.24,16.318,3.217
2011-10-29,27.512,37.63,10.117,1.448,17.208,4.75
2011-10-30,15.023,18.058,3.035,0.83,16.125,2.833
2011-10-31,19.0,34.933,15.933,0.314,6.125,3.522
2011-11-01,28.95,44.942,15.992,0.906,11.25,3.667
2011-11-02,28.603,42.929,14.326,1.302,13.292,3.5
2011-11-03,31.583,45.55,13.967,3.104,19.75,5.333
2011-11-04,34.825,60.908,26.083,1.542,21.208,5.783
2011-11-05,28.141,40.347,12.206,0.896,24.917,4.5
2011-11-06,24.705,38.823,14.118,2.54,17.417,5.542
2011-11-07,13.6,23.567,9.967,0.26,3.583,2.583
2011-11-08,18.308,32.55,14.242,0.229,8.167,2.958
2011-11-09,16.774,27.415,10.641,0.253,6.792,2.522
2011-11-10,18.458,29.4,10.942,0.427,7.75,2.375
2011-11-11,22.65,43.142,20.492,0.406,6.545,3.652
2011-11-12,26.713,49.013,22.3,1.208,9.333,6.25
2011-11-13,21.331,31.78,10.449,2.391,19.708,6.0
2011-11-14,29.725,47.642,17.917,2.935,38.833,5.913
2011-11-15,21.917,38.333,16.417,1.042,16.292,3.833
2011-11-16,21.381,36.954,15.573,0.552,7.917,3.583
2011-11-17,26.867,50.658,23.792,2.062,19.5,4.458
2011-11-18,38.617,67.442,28.825,1.49,19.583,4.739
2011-11-19,27.93,46.939,19.009,0.854,13.708,5.833
2011-11-20,11.821,17.274,5.453,0.886,10.125,4.167
2011-11-21,17.837,34.183,16.347,0.293,5.417,3.087
2011-11-22,30.975,56.567,25.592,1.24,9.542,4.917
2011-11-23,29.777,47.245,17.467,1.698,16.25,5.208
2011-11-24,15.55,28.983,13.434,0.99,10.333,3.375
2011-11-25,16.375,30.325,13.95,0.427,5.125,2.957
2011-11-26,31.385,55.302,23.917,1.032,9.167,5.75
2011-11-27,30.095,50.013,19.918,2.444,16.583,6.833
2011-11-28,33.732,84.076,50.344,1.589,24.0,7.542
2011-11-29,41.329,109.002,67.674,3.812,28.636,8.435
2011-11-30,37.463,85.737,48.274,2.932,26.542,6.833
2011-12-01,9.709,17.892,8.183,0.052,0.625,1.958
2011-12-02,17.483,30.05,12.567,0.146,4.417,2.609
2011-12-03,15.194,26.021,10.827,0.823,4.917,3.875
2011-12-04,9.374,13.259,3.885,0.032,3.125,3.292
2011-12-05,22.062,42.507,20.446,0.353,7.75,3.909
2011-12-06,31.275,58.442,27.167,0.812,11.75,4.958
2011-12-07,34.721,85.352,50.631,1.447,16.708,6.75
2011-12-08,33.883,70.117,36.233,1.26,19.5,6.958
2011-12-09,14.058,24.383,10.325,0.375,4.381,2.783
2011-12-10,21.034,38.222,17.188,0.938,9.75,4.5
2011-12-11,16.838,26.433,9.595,0.637,12.75,5.042
2011-12-12,28.269,61.0,32.731,1.429,21.5,6.682
2011-12-13,24.633,50.158,25.525,0.531,16.042,6.667
2011-12-14,35.797,75.112,39.315,1.896,14.792,8.125
2011-12-15,31.592,77.7,46.108,2.844,28.125,8.667
2011-12-16,15.175,30.483,15.308,0.927,7.708,5.13
