date,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-07-15,6.915,21.294,198.5,35.375,8.146,10.396,2.25,,233.875
2011-07-16,7.88,31.979,224.353,36.765,9.166,12.729,3.562,,261.118
2011-07-17,7.859,33.984,199.75,32.208,7.042,8.73,1.688,,231.958
2011-07-18,4.151,15.427,184.5,24.958,6.413,9.088,2.674,,209.458
2011-07-19,3.136,16.124,178.409,15.227,3.979,5.229,1.25,,193.636
2011-07-20,2.912,8.985,186.583,31.667,4.292,5.75,1.458,,218.25
2011-07-21,4.427,11.208,190.917,31.958,6.229,7.666,1.438,,222.875
2011-07-22,6.495,18.479,199.292,36.0,10.0,14.062,4.062,,235.292
2011-07-23,6.972,35.531,204.5,37.208,8.875,11.438,2.562,,241.708
2011-07-24,8.047,40.255,207.75,32.583,8.396,9.833,1.438,,240.333
2011-07-25,6.302,37.458,203.227,31.5,8.378,10.269,1.89,,234.727
2011-07-26,7.672,30.677,202.792,63.583,9.144,11.93,2.786,,266.375
2011-07-27,7.401,30.952,219.727,53.455,10.938,13.854,2.916,,273.182
2011-07-28,7.172,16.917,195.417,51.583,8.072,12.171,4.1,,247.0
2011-07-29,7.313,18.059,193.75,49.75,9.458,11.604,2.146,,243.5
2011-07-30,6.271,16.684,201.583,47.792,8.542,11.354,2.812,,249.375
2011-07-31,7.036,29.672,192.542,39.042,8.125,9.354,1.229,,231.583
2011-08-01,7.778,34.635,187.5,37.5,8.782,10.786,2.003,,225.0
2011-08-02,7.268,33.68,185.409,34.682,9.458,11.042,1.583,,220.091
2011-08-03,7.48,23.259,183.375,33.833,10.604,13.75,3.146,,217.208
2011-08-04,7.349,16.484,181.5,33.958,10.292,14.208,3.917,,215.458
2011-08-05,7.599,22.391,180.125,33.667,11.48,14.688,3.208,,213.792
2011-08-06,5.503,14.844,180.292,36.458,8.417,11.75,3.334,,216.75
2011-08-07,7.557,18.281,182.381,29.81,7.312,11.0,3.688,,212.19
2011-08-08,7.333,18.865,182.286,32.786,7.826,11.739,3.913,,215.071
2011-08-09,8.626,30.641,170.1,50.0,9.438,13.25,3.812,,218.7
2011-08-10,7.944,30.469,181.75,30.625,7.876,11.97,4.094,,212.375
2011-08-11,6.302,16.818,180.167,32.542,5.896,7.562,1.666,,212.708
2011-08-12,7.047,16.864,180.0,29.826,8.896,10.958,2.062,,209.826
2011-08-13,6.99,19.526,181.5,28.375,7.667,10.479,2.812,,209.875
2011-08-14,7.073,27.786,180.875,28.167,6.77,8.5,1.729,,209.042
2011-08-15,5.24,14.984,182.545,23.909,4.672,5.936,1.264,,206.455
2011-08-16,5.582,16.349,183.917,18.167,3.646,4.438,0.792,,202.083
2011-08-17,6.28,18.932,183.227,20.682,5.062,6.23,1.166,,203.909
2011-08-18,6.045,17.926,190.526,26.737,6.25,8.104,1.854,,217.263
2011-08-19,5.198,13.891,188.882,23.118,4.146,5.062,0.917,,212.0
2011-08-20,4.964,20.385,200.333,29.917,11.062,13.188,2.125,,230.25
2011-08-21,2.995,10.698,187.333,24.792,5.25,6.084,0.834,,212.125
