date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean
2012-02-22,16.2915,18.1875,1.896,49.104,43.042
2012-02-23,7.4165,8.375,0.958,32.8335,28.0
2012-02-24,11.1665,13.2085,2.042,6.583,7.333
2012-02-25,17.4345,21.0,3.565,12.708,14.333
2012-02-26,22.7705,26.6875,3.9165,18.854,21.583
2012-02-27,17.125,20.833,3.7085,19.2915,23.304
2012-02-28,23.625,29.729,6.1045,23.4795,22.75
2012-02-29,,,,,
2012-03-01,9.25,10.1455,0.8955,15.042,16.5
2012-03-02,10.1875,13.396,3.2085,16.604,16.042
2012-03-03,6.6045,7.5,0.896,13.771,10.083
2012-03-04,15.239,16.8695,1.6305,39.521,34.958
2012-03-05,19.1455,22.5625,3.417,49.271,40.375
2012-03-06,20.5,23.587,3.0869999999999997,17.9565,14.783
2012-03-07,8.8955,9.4795,0.583,29.25,22.583
2012-03-08,12.7085,14.6455,1.9375,48.479,37.625
2012-03-09,8.2295,8.4585,0.22899999999999998,53.583,43.708
2012-03-10,6.854,7.5,0.6455,30.646,29.75
2012-03-11,14.196,17.674,3.478,15.729500000000002,13.208
2012-03-12,11.2705,12.875,1.6045,18.7915,16.708
2012-03-13,7.375,8.5625,1.1875,20.4155,15.333
2012-03-14,12.6875,18.604,5.9165,11.0,8.333
2012-03-15,18.5415,23.833,5.2915,11.979,9.75
2012-03-16,15.521,17.729,2.2085,12.1455,10.958
2012-03-17,8.979,9.479,0.5,24.792,19.75
2012-03-18,10.283000000000001,13.282499999999999,3.0,18.146,20.292
2012-03-19,17.855,20.711,2.856,37.396,33.818
2012-03-20,11.542,13.0,1.4585,39.0205,36.167
2012-03-21,12.862,16.6005,3.7385,8.947,9.833
2012-03-22,15.625,18.271,2.646,10.9375,9.583
2012-03-23,16.4585,19.375,2.9165,34.0415,26.0
2012-03-24,11.854,13.3125,1.458,34.521,28.208
2012-03-25,11.913,14.652,2.7395,18.9165,15.083
2012-03-26,14.729,17.083,2.354,13.042,11.833
