date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-09-19,185.208,2.125,9.958,9.167,12.75,3.583,4.375,22.0,195.167
2011-09-20,187.348,3.125,11.13,15.565,21.391,5.826,3.0,19.261,198.478
2011-09-21,181.083,1.917,6.667,6.708,9.75,3.042,2.417,14.833,187.75
2011-09-22,181.0,1.667,7.5,9.208,11.083,1.875,3.708,7.0,188.5
2011-09-23,189.75,3.542,13.167,15.917,20.042,4.125,5.542,8.75,202.917
2011-09-24,194.417,3.167,11.333,13.0,17.75,4.75,5.625,12.333,205.75
2011-09-25,190.875,2.304,5.792,7.333,8.625,1.292,4.083,6.125,196.667
2011-09-26,191.75,4.458,14.875,18.542,21.625,3.083,5.478,12.522,206.625
2011-09-27,190.565,3.667,17.522,17.0,21.913,4.913,3.958,13.792,208.087
2011-09-28,188.583,3.458,10.792,12.583,14.958,2.375,4.708,11.5,199.375
2011-09-29,189.375,3.417,11.792,13.292,16.417,3.125,4.875,15.042,201.167
2011-09-30,185.292,2.625,8.833,9.458,10.167,0.708,3.833,27.333,194.125
2011-10-01,189.083,3.167,10.125,11.625,14.167,2.542,5.0,16.583,199.208
2011-10-02,187.875,2.522,8.708,8.125,10.083,1.958,5.083,10.042,196.583
2011-10-03,192.083,3.542,10.583,16.292,20.375,4.083,5.458,11.292,202.667
2011-10-04,191.0,3.125,7.957,13.087,17.522,4.435,5.875,8.625,198.957
2011-10-05,197.792,4.875,26.417,24.542,37.417,12.875,4.125,17.125,224.208
2011-10-06,192.375,2.917,11.542,15.333,18.458,3.125,3.708,7.042,203.917
2011-10-07,191.5,2.583,12.917,12.125,13.75,1.625,5.5,12.667,204.417
2011-10-08,195.708,4.0,14.5,17.375,22.417,5.042,6.667,23.583,210.208
2011-10-09,196.083,4.13,8.292,10.667,12.458,1.792,4.917,29.458,204.375
2011-10-10,195.292,4.833,15.792,15.333,17.25,1.917,6.667,36.667,211.083
2011-10-11,197.545,4.5,16.091,16.696,21.435,4.739,5.565,43.043,213.636
2011-10-12,193.792,4.375,11.875,14.583,16.5,1.917,6.458,31.458,205.667
2011-10-13,195.0,4.542,16.292,19.875,27.0,7.125,6.167,41.5,211.292
2011-10-14,194.458,4.417,17.292,16.5,22.25,5.75,7.417,46.583,211.75
2011-10-15,180.0,1.208,1.75,2.125,2.333,0.208,2.833,14.167,181.75
2011-10-16,181.0,2.13,2.333,4.375,4.5,0.125,3.792,10.542,183.333
2011-10-17,191.417,4.5,11.25,18.417,22.5,4.083,7.042,29.0,202.667
2011-10-18,191.652,3.75,9.435,17.087,20.261,3.174,5.875,17.958,201.087
2011-10-19,191.875,3.875,9.458,15.625,18.292,2.667,5.958,12.792,201.333
2011-10-20,192.083,4.875,11.292,14.167,16.5,2.333,5.667,12.458,203.375
2011-10-21,189.333,4.583,9.458,13.958,16.042,2.083,5.708,13.625,198.792
2011-10-22,189.833,2.917,18.958,13.958,19.667,5.708,4.208,10.75,208.792
2011-10-23,182.333,1.696,3.042,5.042,5.792,0.75,3.167,6.417,185.375
2011-10-24,200.083,4.208,14.958,16.292,23.25,6.958,4.826,22.348,215.042
2011-10-25,194.043,3.375,15.783,15.043,19.609,4.565,5.667,21.542,209.826
2011-10-26,191.708,2.625,14.125,12.958,15.333,2.375,5.375,6.333,205.833
2011-10-27,195.417,4.667,17.208,23.083,36.875,13.792,5.792,17.208,212.625
2011-10-28,196.0,4.875,20.333,25.042,32.542,7.5,6.208,18.167,216.333
2011-10-29,193.542,3.833,18.583,20.083,26.542,6.458,5.125,19.833,212.125
2011-10-30,191.833,4.739,16.5,13.375,15.0,1.625,5.708,19.833,208.333
2011-10-31,193.375,4.417,21.667,21.583,27.417,5.833,5.708,24.125,215.042
2011-11-01,194.217,4.25,12.391,19.0,26.609,7.609,4.5,14.625,206.609
2011-11-02,200.458,4.958,16.375,20.5,31.875,11.375,4.458,22.333,216.833
