date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,THC_mean
2011-07-06,191.905,2.739,19.333,13.13,19.043,5.913,0.0,1.696,30.917,211.238
2011-07-07,177.542,1.208,10.875,7.042,10.75,3.708,0.0,1.208,13.958,188.417
2011-07-08,176.667,1.292,10.125,9.458,17.708,8.25,0.0,2.208,20.792,186.792
2011-07-09,177.583,1.625,10.875,6.917,14.458,7.542,0.0,1.25,12.292,188.458
2011-07-10,178.333,1.333,9.5,3.5,6.917,3.417,0.0,0.5,7.083,187.833
2011-07-11,179.875,1.833,10.042,6.25,17.083,10.833,0.0,4.833,13.542,189.917
2011-07-12,180.5,1.417,9.875,4.25,11.792,7.542,0.0,0.375,7.708,190.375
2011-07-13,177.957,1.13,8.783,6.0,15.0,9.0,0.0,4.13,7.25,186.739
2011-07-14,178.792,1.0,8.75,4.625,11.0,6.375,0.0,0.542,6.875,187.542
2011-07-15,178.75,1.208,9.5,7.833,17.167,9.333,0.0,0.833,9.375,188.25
2011-07-16,180.5,1.792,11.75,7.167,13.0,5.833,0.0,4.0,19.583,192.25
2011-07-17,175.333,1.0,8.208,2.875,5.208,2.333,0.0,2.417,13.542,183.542
2011-07-18,174.042,1.083,8.833,3.208,6.042,2.833,0.0,1.25,26.458,182.875
2011-07-19,174.958,1.0,7.25,1.542,3.042,1.5,58.0,0.0,29.792,182.208
2011-07-20,178.478,2.391,11.739,5.348,8.826,3.478,9.0,1.045,25.174,190.217
2011-07-21,184.583,2.458,15.667,10.5,17.875,7.375,0.0,1.292,12.375,200.25
2011-07-22,187.583,2.5,12.667,12.875,23.25,10.375,0.0,1.75,12.292,200.25
2011-07-23,186.417,2.333,11.958,10.458,17.208,6.75,0.0,1.167,6.125,198.375
2011-07-24,188.792,2.875,13.583,10.125,14.833,4.708,0.0,3.083,15.667,202.375
2011-07-25,184.167,2.042,9.708,7.292,11.292,4.0,0.0,1.208,18.833,193.875
2011-07-26,183.083,2.042,8.875,9.125,12.125,3.0,0.0,1.333,17.167,191.958
2011-07-27,178.696,2.0,9.043,13.348,21.391,8.043,0.0,2.957,18.208,187.739
2011-07-28,195.217,2.958,17.0,23.792,44.708,20.917,2.0,3.333,54.375,212.217
2011-07-29,192.375,3.25,15.25,20.875,29.208,8.333,4.0,2.25,47.5,207.625
2011-07-30,192.292,2.5,13.333,13.042,22.125,9.083,16.0,1.333,30.0,205.625
2011-07-31,184.167,2.417,10.75,11.083,15.208,4.125,0.0,3.292,31.292,194.917
2011-08-01,188.417,2.25,10.167,13.625,22.792,9.167,0.0,3.208,30.0,198.583
2011-08-02,191.167,2.0,11.625,11.458,20.542,9.083,0.0,1.875,26.208,202.792
2011-08-03,192.087,3.13,12.826,13.913,29.826,15.913,0.0,1.957,26.25,204.913
2011-08-04,183.25,1.958,10.667,8.333,25.25,16.917,8.0,1.833,24.042,193.917
2011-08-05,181.0,1.417,8.875,5.417,12.75,7.333,1.0,0.333,12.833,189.875
2011-08-06,176.0,2.042,10.625,7.708,15.333,7.625,0.0,1.833,16.083,186.625
2011-08-07,182.708,2.409,13.833,10.542,14.5,3.958,33.0,2.25,27.167,196.542
2011-08-08,186.667,2.955,15.792,18.083,27.583,9.5,0.0,4.167,37.833,202.458
2011-08-09,179.667,3.0,11.917,14.958,25.083,10.125,0.0,4.083,30.0,191.583
2011-08-10,175.565,1.913,8.609,9.87,13.13,3.261,0.0,2.261,33.667,184.174
2011-08-11,177.125,2.125,9.958,11.167,14.333,3.167,0.0,2.125,51.0,187.083
2011-08-12,184.417,3.375,13.0,16.25,21.333,5.083,0.0,4.0,60.125,197.417
2011-08-13,186.625,3.708,11.792,8.75,10.792,2.042,1.0,5.167,74.167,198.417
2011-08-14,180.125,2.292,10.125,5.583,6.208,0.625,0.0,2.083,58.333,190.25
2011-08-15,175.833,1.583,7.625,5.75,6.833,1.083,0.0,1.875,33.417,183.458
2011-08-16,180.917,3.042,12.125,11.083,14.0,2.917,0.0,3.333,45.917,193.042
2011-08-17,184.826,3.478,12.0,14.217,20.609,6.391,0.0,4.043,56.833,196.826
2011-08-18,175.087,1.667,8.087,8.417,11.917,3.5,0.0,1.913,55.478,183.174
2011-08-19,182.875,2.417,8.583,13.208,18.333,5.125,26.0,2.125,33.125,191.458
2011-08-20,192.208,3.083,12.208,14.75,22.333,7.583,0.0,1.583,14.167,204.417
2011-08-21,190.625,2.708,9.792,9.042,12.083,3.042,7.0,1.333,8.292,200.417
2011-08-22,194.458,3.292,13.083,17.875,33.833,15.958,15.0,1.583,24.208,207.542
2011-08-23,195.167,2.167,8.958,6.75,12.917,6.167,2.0,0.625,28.333,204.125
2011-08-24,177.957,1.261,8.739,3.609,8.391,4.783,6.0,2.696,16.167,186.696
2011-08-25,177.5,1.167,8.25,4.0,10.167,6.167,2.0,1.0,18.167,185.75
2011-08-26,179.625,3.167,12.375,12.458,27.333,14.875,18.0,3.792,18.167,192.0
2011-08-27,186.083,2.208,10.0,12.083,17.208,5.125,0.0,2.208,22.042,196.083
2011-08-28,190.167,3.083,15.625,12.167,15.708,3.542,0.0,4.0,18.875,205.792
2011-08-29,185.958,2.5,13.083,17.75,28.75,11.0,0.0,3.792,28.333,199.042
2011-08-30,185.625,2.042,11.292,15.25,24.417,9.167,8.0,3.125,16.042,196.917
2011-08-31,183.087,1.609,13.957,11.0,22.478,11.478,1.0,1.826,20.125,197.043
2011-09-01,180.0,0.667,10.458,3.125,9.167,6.042,3.0,0.0,24.75,190.458
2011-09-02,178.167,0.833,9.0,2.375,7.625,5.25,13.0,0.0,25.042,187.167
2011-09-03,175.833,0.208,7.875,0.542,0.917,0.375,2.0,0.0,29.292,183.708
2011-09-04,177.375,0.375,8.083,0.75,1.083,0.333,0.0,0.0,21.208,185.458
2011-09-05,181.375,0.958,9.417,4.0,6.583,2.583,1.0,0.875,21.167,190.792
2011-09-06,185.25,1.542,13.083,15.667,24.0,8.333,0.0,1.792,5.125,198.333
2011-09-07,190.957,3.304,13.478,23.0,32.696,9.696,0.0,4.87,13.846,204.435
2011-09-08,190.958,2.333,11.25,10.792,14.583,3.792,0.0,2.542,,202.208
