date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2012-03-02,4.792,13.625,16.5,2.875,,32.375
2012-03-03,4.208,11.833,13.958,2.125,,26.708
2012-03-04,4.5,16.375,22.625,6.25,,31.125
2012-03-05,4.957,18.304,24.522,6.217,,32.043
2012-03-06,5.542,17.125,23.875,6.75,,40.208
2012-03-07,4.708,12.417,15.958,3.542,,50.292
2012-03-08,4.583,10.75,11.875,1.125,,54.833
2012-03-09,5.417,17.375,19.208,1.833,,56.958
2012-03-10,4.375,10.208,11.75,1.542,,75.083
2012-03-11,3.667,11.375,14.458,3.083,,22.826
2012-03-12,3.565,9.0,10.0,1.0,,28.917
2012-03-13,2.167,,,,,48.083
2012-03-14,3.833,,,,,26.75
2012-03-15,3.833,,,,,27.75
2012-03-16,4.625,,,,,36.292
2012-03-17,4.125,,,,,43.875
2012-03-18,2.625,,,,,51.083
2012-03-19,3.87,,,,,39.292
2012-03-20,3.875,,,,,43.25
2012-03-21,3.542,,,,,22.958
2012-03-22,3.542,,,,,28.125
2012-03-23,4.042,,,,,38.0
2012-03-24,4.292,,,,,37.792
2012-03-25,4.0,,,,,42.125
2012-03-26,3.783,,,,,22.708
2012-03-27,5.125,,,,,51.292
2012-03-28,6.208,,,,,79.625
2012-03-29,3.833,,,,,41.792
2012-03-30,3.708,,,,,34.417
2012-03-31,4.833,,,,,41.667
2012-04-01,3.75,7.708,8.958,1.25,,26.042
2012-04-02,3.542,10.167,13.083,2.917,,23.167
2012-04-03,2.625,1.875,2.583,0.708,,31.042
2012-04-04,4.375,10.083,12.875,2.792,,24.292
2012-04-05,3.833,6.625,7.667,1.042,,62.875
2012-04-06,4.091,13.435,16.478,3.043,,33.391
2012-04-07,3.792,9.667,12.458,2.792,,23.292
2012-04-08,3.583,9.25,11.167,1.917,,25.5
2012-04-09,3.917,8.25,9.292,1.042,,37.542
2012-04-10,3.435,5.609,6.522,0.913,,44.417
2012-04-11,3.125,5.292,5.667,0.375,,42.917
2012-04-12,4.167,13.792,17.375,3.583,,33.042
2012-04-13,4.625,18.458,22.833,4.375,,46.167
2012-04-14,5.125,16.292,18.542,2.25,,32.625
2012-04-15,4.5,8.5,9.875,1.375,,28.917
2012-04-16,3.667,8.833,11.5,2.667,,30.375
2012-04-17,4.087,14.043,21.522,7.478,,31.292
2012-04-18,4.0,11.542,14.917,3.375,,28.792
2012-04-19,3.583,10.667,13.417,2.75,,28.042
2012-04-20,3.167,9.167,11.708,2.542,,21.792
2012-04-21,3.208,7.167,9.167,2.0,,24.167
2012-04-22,4.875,13.333,16.167,2.833,,36.125
2012-04-23,3.083,8.75,10.75,2.0,,25.083
2012-04-24,4.043,13.739,18.217,4.478,,45.333
2012-04-25,3.708,8.167,9.958,1.792,,38.917
2012-04-26,3.167,2.292,2.292,0.0,,37.375
2012-04-27,4.333,20.125,25.917,5.792,,34.042
2012-04-28,3.792,6.833,7.875,1.042,,30.083
2012-04-29,4.292,7.083,7.458,0.375,,48.083
2012-04-30,2.167,2.458,2.625,0.167,,27.167
2012-05-01,2.435,5.087,7.13,2.043,,35.042
2012-05-02,2.083,1.875,3.333,1.458,,29.5
2012-05-03,3.708,13.292,17.792,4.5,,28.583
2012-05-04,4.208,11.333,14.708,3.375,,32.042
2012-05-05,3.458,8.5,11.417,2.917,,24.292
2012-05-06,3.042,4.75,6.125,1.375,,38.583
2012-05-07,3.75,12.208,16.292,4.083,,35.083
2012-05-08,4.652,16.609,19.783,3.174,,46.708
2012-05-09,6.333,24.0,26.625,2.625,,86.583
2012-05-10,4.75,18.125,20.667,2.542,,43.5
2012-05-11,3.417,14.0,15.875,1.875,,17.542
2012-05-12,3.292,11.375,12.792,1.417,,16.5
2012-05-13,3.708,9.458,10.417,0.958,,24.125
2012-05-14,2.583,6.208,7.125,0.917,,27.75
2012-05-15,2.435,4.348,5.739,1.391,,21.5
2012-05-16,4.125,15.583,21.667,6.083,,34.708
2012-05-17,3.542,8.333,11.417,3.083,,42.167
2012-05-18,4.333,14.958,17.917,2.958,,36.125
2012-05-19,3.833,8.5,10.625,2.125,,35.458
2012-05-20,3.208,2.458,3.542,1.083,,30.083
2012-05-21,3.667,9.5,12.417,2.917,,33.125
2012-05-22,4.087,16.435,20.391,3.957,,25.652
2012-05-23,3.292,9.167,11.208,2.042,,22.917
2012-05-24,4.208,7.917,9.333,1.417,,36.292
