date,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean
2012-01-18,8.625,9.875,1.25,,0.417,3.25
2012-01-19,14.25,19.75,5.5,,0.75,13.958
2012-01-20,6.417,9.083,2.667,,0.833,7.0
2012-01-21,8.625,12.958,4.333,,0.542,8.417
2012-01-22,23.208,34.25,11.042,,0.542,30.0
2012-01-23,4.87,5.348,0.478,,0.458,5.792
2012-01-24,12.417,14.417,2.0,,1.087,13.708
2012-01-25,6.875,7.292,0.417,,0.875,9.708
2012-01-26,5.375,5.708,0.333,,0.292,3.25
2012-01-27,7.25,8.125,0.875,,0.792,5.208
2012-01-28,9.708,11.0,1.292,,0.542,8.0
2012-01-29,13.833,21.5,7.667,,0.917,6.833
2012-01-30,12.13,18.13,6.0,,1.542,11.875
2012-01-31,8.792,10.0,1.208,,1.435,10.583
2012-02-01,8.292,13.75,5.458,,0.417,15.625
2012-02-02,5.542,5.833,0.292,,0.125,14.667
2012-02-03,7.0,7.375,0.375,,1.75,7.417
2012-02-04,14.042,16.917,2.875,,1.125,19.0
2012-02-05,7.708,8.125,0.417,,1.542,11.083
2012-02-06,9.913,10.391,0.478,,0.292,8.75
2012-02-07,11.292,14.542,3.25,,0.913,17.667
2012-02-08,11.0,11.5,0.5,,1.042,7.083
2012-02-09,10.0,10.958,0.958,,1.125,6.542
2012-02-10,14.583,16.333,1.75,,2.542,17.625
2012-02-11,8.625,11.167,2.542,,2.0,11.708
2012-02-12,11.25,13.083,1.833,,1.167,18.125
2012-02-13,12.913,14.565,1.652,,1.458,18.875
2012-02-14,10.792,14.917,4.125,,0.478,11.217
2012-02-15,17.083,25.875,8.792,,0.5,25.042
2012-02-16,6.875,7.458,0.583,,0.917,5.5
2012-02-17,4.958,5.375,0.417,,1.208,3.583
2012-02-18,22.875,31.458,8.583,,0.75,32.25
2012-02-19,14.792,15.708,0.917,,0.167,15.375
2012-02-20,11.739,14.348,2.609,,0.958,8.292
2012-02-21,12.208,15.208,3.0,,1.217,6.208
2012-02-22,10.958,14.333,3.375,,0.75,10.333
2012-02-23,9.5,10.125,0.625,,1.542,14.5
2012-02-24,6.333,7.333,1.0,,0.75,8.792
2012-02-25,6.708,7.292,0.583,,1.0,2.75
2012-02-26,10.667,13.0,2.333,,1.042,9.542
2012-02-27,19.13,23.348,4.217,,0.25,26.417
2012-02-28,12.833,18.125,5.292,,0.87,22.625
2012-03-01,4.125,6.167,2.042,,0.417,16.583
2012-03-02,7.375,7.625,0.25,,1.833,15.0
2012-03-03,5.542,6.042,0.5,,1.333,9.125
2012-03-04,4.625,5.042,0.417,,0.542,12.208
2012-03-05,9.75,11.417,1.667,,1.583,14.25
2012-03-06,10.826,14.913,4.087,,1.417,20.75
2012-03-07,5.75,7.625,1.875,,1.913,28.417
2012-03-08,4.375,4.375,0.0,,2.833,39.417
2012-03-09,8.125,8.625,0.5,,2.917,39.375
2012-03-10,4.875,5.0,0.125,,1.125,45.25
2012-03-11,5.583,6.083,0.5,,0.833,9.833
2012-03-12,10.375,13.083,2.708,,1.875,14.333
2012-03-13,1.826,1.826,0.0,,0.625,23.375
2012-03-14,4.708,4.833,0.125,,1.043,8.833
2012-03-15,4.875,5.417,0.542,,0.458,10.75
2012-03-16,9.083,11.833,2.75,,1.167,17.083
2012-03-17,5.0,5.292,0.292,,1.833,24.583
2012-03-18,1.458,1.458,0.0,,1.167,41.208
2012-03-19,4.0,4.583,0.583,,1.042,27.25
2012-03-20,5.652,6.261,0.609,,1.708,29.208
2012-03-21,5.583,6.25,0.667,,0.696,5.913
2012-03-22,11.125,13.167,2.042,,1.667,11.833
2012-03-23,4.75,5.333,0.583,,0.917,16.917
2012-03-24,4.333,4.833,0.5,,1.208,21.75
2012-03-25,5.0,5.292,0.292,,0.292,23.667
2012-03-26,4.917,5.708,0.792,,0.708,7.875
2012-03-27,25.261,30.0,4.739,,1.417,30.375
2012-03-28,12.917,17.417,4.5,,1.174,33.917
2012-03-29,4.458,5.458,1.0,,0.958,20.083
2012-03-30,2.958,2.958,0.0,,0.583,15.792
2012-03-31,5.042,5.375,0.333,,0.542,22.833
2012-04-01,4.208,4.292,0.083,,0.792,12.75
