date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2012-03-31,3.542,8.25,14.917,6.667,,18.458
2012-04-01,4.5,14.875,25.625,10.75,,15.625
2012-04-02,5.333,22.167,47.167,25.0,,14.583
2012-04-03,4.125,17.125,33.667,16.542,,28.542
2012-04-04,4.375,15.458,32.792,17.333,,11.333
2012-04-05,5.0,19.609,36.783,17.174,,24.739
2012-04-06,4.625,17.708,32.875,15.167,,20.458
2012-04-07,3.958,14.583,25.167,10.583,,13.667
2012-04-08,4.333,12.5,20.583,8.083,,15.625
2012-04-09,5.333,24.833,47.083,22.25,,25.333
2012-04-10,5.542,27.875,49.5,21.625,,40.0
2012-04-11,4.833,27.083,48.375,21.292,,26.0
2012-04-12,5.208,24.75,44.875,20.125,,15.667
2012-04-13,6.217,29.826,54.609,24.783,,24.909
2012-04-14,3.833,12.25,20.208,7.958,,9.167
2012-04-15,4.708,14.75,24.667,9.917,,18.0
2012-04-16,6.292,25.083,48.917,23.833,,27.75
2012-04-17,5.958,28.417,61.833,33.417,,20.375
2012-04-18,4.958,23.083,43.75,20.667,,18.208
2012-04-19,3.609,16.957,28.435,11.478,,16.458
2012-04-20,4.5,21.875,42.875,21.0,,17.958
2012-04-21,3.75,14.042,21.583,7.542,,19.083
2012-04-22,5.375,18.083,32.458,14.375,,17.708
2012-04-23,7.5,34.583,83.083,48.5,,9.417
2012-04-24,5.542,25.25,53.375,28.125,,22.167
2012-04-25,6.458,28.333,49.625,21.292,,34.167
2012-04-26,5.25,23.0,40.857,17.857,,25.75
2012-04-27,6.391,24.889,44.333,19.444,,9.667
2012-04-28,5.458,19.208,35.208,16.0,,16.792
2012-04-29,5.042,13.792,20.417,6.625,,30.833
2012-04-30,4.583,13.833,23.333,9.5,,18.917
2012-05-01,4.125,14.833,27.625,12.792,,20.375
2012-05-02,2.958,8.625,13.417,4.792,,15.083
2012-05-03,4.167,14.417,28.083,13.667,,6.833
2012-05-04,4.167,11.917,20.167,8.25,,10.667
2012-05-05,3.792,8.542,14.333,5.792,,12.917
2012-05-06,4.333,10.625,16.667,6.042,,23.917
2012-05-07,5.542,23.333,40.75,17.417,,20.708
2012-05-08,5.875,30.375,48.458,18.083,,33.875
