date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2015-07-31,192.708,6.583,2.583,3.667,1.083,16.708,0.458,199.292
2015-08-01,206.917,7.708,4.0,5.458,1.458,17.625,0.609,214.625
2015-08-02,212.0,6.792,3.458,4.708,1.25,14.125,0.583,218.792
2015-08-03,202.667,8.0,4.792,8.042,3.25,11.208,0.417,210.667
2015-08-04,199.857,7.905,4.619,6.857,2.238,18.571,0.81,207.762
2015-08-05,191.217,9.609,4.826,6.87,2.043,27.958,0.913,200.826
2015-08-06,188.25,8.917,5.417,8.208,2.792,28.25,1.542,197.167
2015-08-07,190.625,11.5,6.458,12.333,5.875,14.292,0.583,202.125
2015-08-08,184.875,8.292,3.083,5.5,2.417,13.25,1.792,193.167
2015-08-09,189.083,9.25,4.042,5.208,1.167,22.958,1.708,198.333
2015-08-10,189.667,9.905,4.81,6.381,1.571,26.952,1.143,199.571
2015-08-11,187.542,7.917,4.208,5.833,1.625,23.917,0.833,195.458
2015-08-12,185.13,8.0,3.391,5.826,2.435,14.917,0.0,193.13
2015-08-13,184.042,7.625,2.0,3.25,1.25,8.208,0.125,191.667
2015-08-14,192.458,7.333,2.833,4.083,1.25,14.083,0.333,199.792
2015-08-15,202.083,8.292,3.417,5.083,1.667,21.25,0.292,210.375
2015-08-16,199.75,8.792,3.5,4.875,1.375,18.333,0.417,208.542
2015-08-17,192.917,8.75,3.792,5.25,1.458,5.083,0.0,201.667
2015-08-18,210.429,11.619,4.429,7.667,3.238,7.0,0.857,222.048
2015-08-19,196.864,10.909,5.522,7.87,2.348,8.25,0.435,207.773
2015-08-20,186.583,8.292,2.0,3.875,1.875,10.333,0.625,194.875
2015-08-21,181.75,6.583,1.167,2.375,1.208,7.708,0.417,188.333
2015-08-22,191.167,8.667,3.667,5.333,1.667,8.583,0.583,199.833
2015-08-23,203.75,9.958,3.25,3.417,0.167,13.792,0.583,213.708
2015-08-24,206.875,11.083,5.667,6.625,0.958,18.083,0.708,217.958
2015-08-25,183.438,5.938,1.0,1.0,0.0,4.75,0.75,189.375
2015-08-26,188.583,7.458,,,,6.208,0.043,196.042
2015-08-27,197.75,8.5,5.238,6.667,1.429,10.875,0.125,206.25
2015-08-28,195.792,8.542,3.833,3.917,0.083,13.917,0.333,204.333
2015-08-29,196.833,9.0,4.125,4.125,0.0,14.375,0.042,205.833
2015-08-30,198.542,8.792,2.792,2.792,0.0,13.958,0.458,207.333
2015-08-31,197.565,11.478,6.083,6.542,0.458,6.125,0.042,209.043
2015-09-01,186.304,11.087,5.167,5.167,0.0,3.042,0.042,197.391
2015-09-02,193.375,11.542,5.261,6.87,1.609,9.25,0.043,204.917
2015-09-03,188.714,9.048,4.81,5.667,0.857,8.571,0.429,197.762
2015-09-04,195.917,9.75,3.958,4.5,0.542,21.125,0.083,205.667
2015-09-05,196.667,10.167,3.833,4.292,0.458,23.333,0.292,206.833
2015-09-06,190.417,9.042,2.5,2.625,0.125,10.917,0.0,199.458
2015-09-07,190.875,9.458,4.542,5.167,0.625,6.625,0.167,200.333
2015-09-08,195.217,7.696,3.667,4.083,0.417,8.708,1.208,202.913
2015-09-09,191.583,7.458,2.826,3.435,0.609,6.75,0.0,199.042
2015-09-10,194.048,7.619,3.286,3.952,0.667,6.429,0.0,201.667
2015-09-11,203.208,10.333,5.792,7.375,1.583,16.958,3.833,213.542
2015-09-12,195.417,7.417,2.958,3.417,0.458,15.958,0.667,202.833
2015-09-13,204.958,9.333,3.583,3.833,0.25,14.542,0.5,214.292
2015-09-14,210.542,11.708,7.75,9.125,1.375,19.583,2.333,222.25
2015-09-15,210.739,14.174,10.125,11.917,1.792,27.25,3.167,224.913
2015-09-16,202.917,12.167,7.783,9.957,2.174,13.792,0.652,215.083
2015-09-17,197.238,8.714,5.19,6.81,1.619,4.81,0.238,205.952
2015-09-18,194.75,8.125,4.125,5.458,1.333,9.083,0.333,202.875
2015-09-19,201.208,9.958,5.167,7.0,1.833,13.625,2.292,211.167
2015-09-20,197.542,7.583,3.083,3.583,0.5,14.667,1.042,205.125
2015-09-21,201.958,9.792,4.333,5.25,0.917,18.708,0.5,211.75
2015-09-22,206.217,11.826,6.958,9.208,2.25,28.208,4.75,218.043
2015-09-23,203.417,9.417,3.783,5.13,1.348,15.083,0.304,212.833
2015-09-24,193.571,10.048,4.524,6.143,1.619,8.81,0.333,203.619
2015-09-25,191.958,10.292,4.667,6.25,1.583,9.542,0.083,202.25
2015-09-26,194.708,11.917,6.708,9.125,2.417,13.458,0.833,206.625
2015-09-27,196.625,10.458,4.292,5.458,1.167,18.958,1.125,207.083
2015-09-28,206.0,10.524,6.19,9.048,2.857,22.476,2.667,216.524
2015-09-29,203.5,10.8,6.917,9.667,2.75,20.625,8.417,214.3
2015-09-30,205.75,13.0,9.609,10.957,1.348,23.125,2.391,218.75
2015-10-01,187.833,6.667,2.708,3.333,0.625,10.625,0.042,194.5
2015-10-02,197.417,7.708,3.667,4.417,0.75,11.625,0.167,205.125
2015-10-03,207.5,8.25,3.958,4.875,0.917,11.75,0.375,215.75
2015-10-04,214.917,9.333,2.625,3.167,0.542,17.583,0.417,224.25
2015-10-05,221.792,11.167,6.5,7.625,1.125,19.048,0.625,232.958
2015-10-06,207.5,7.75,6.095,9.19,3.095,12.6,0.381,215.25
2015-10-07,202.542,8.208,7.391,9.696,2.304,13.0,1.87,210.75
2015-10-08,198.0,10.0,8.708,9.875,1.167,18.667,2.083,208.0
2015-10-09,194.208,7.875,6.5,7.833,1.333,30.167,2.417,202.083
2015-10-10,197.333,9.5,6.458,7.792,1.333,24.435,0.417,206.833
2015-10-11,194.167,4.5,2.625,2.875,0.25,14.708,0.167,198.667
2015-10-12,196.458,5.292,3.833,4.458,0.625,11.458,0.25,201.75
2015-10-13,195.522,8.522,6.25,7.708,1.458,16.375,0.375,204.043
2015-10-14,193.476,8.381,7.583,10.667,3.083,19.905,5.45,201.857
2015-10-15,196.333,11.292,10.545,11.727,1.182,26.0,1.286,207.625
2015-10-16,198.75,11.875,8.958,12.708,3.75,22.833,0.458,210.625
2015-10-17,194.917,11.167,8.167,9.458,1.292,27.167,0.583,206.083
2015-10-18,193.958,9.625,6.083,6.625,0.542,24.625,2.75,203.583
2015-10-19,194.0,12.125,9.667,11.25,1.583,33.417,4.292,206.125
2015-10-20,195.087,11.957,10.75,12.583,1.833,31.375,1.875,207.043
2015-10-21,200.476,13.286,12.5,15.25,2.75,41.333,1.35,213.762
2015-10-22,203.75,13.042,9.875,11.792,1.917,37.125,4.917,216.792
2015-10-23,200.125,12.583,11.25,13.5,2.25,36.958,2.25,212.708
