date,CO_mean
2013-07-11,3.333
2013-07-12,3.208
2013-07-13,2.583
2013-07-14,1.958
2013-07-15,2.167
2013-07-16,3.792
2013-07-17,3.348
2013-07-18,2.25
2013-07-19,2.875
2013-07-20,4.542
2013-07-21,2.917
2013-07-22,3.708
2013-07-23,2.364
2013-07-24,2.292
2013-07-25,3.208
2013-07-26,4.042
2013-07-27,3.125
2013-07-28,4.0
2013-07-29,3.375
2013-07-30,2.739
2013-07-31,2.792
2013-08-01,2.75
2013-08-02,2.542
2013-08-03,2.5
2013-08-04,2.417
2013-08-05,3.583
2013-08-06,3.286
2013-08-07,3.042
2013-08-08,3.083
2013-08-09,3.708
2013-08-10,3.5
2013-08-11,3.5
2013-08-12,4.292
2013-08-13,4.043
2013-08-14,3.708
2013-08-15,3.042
2013-08-16,3.667
2013-08-17,3.292
2013-08-18,2.375
2013-08-19,3.182
2013-08-20,3.042
2013-08-21,2.875
2013-08-22,3.25
2013-08-23,2.708
2013-08-24,3.417
2013-08-25,2.917
2013-08-26,5.174
2013-08-27,4.75
2013-08-28,4.625
2013-08-29,4.042
2013-08-30,3.292
2013-08-31,2.25
2013-09-01,4.458
2013-09-02,4.905
2013-09-03,4.417
2013-09-04,3.5
2013-09-05,3.875
2013-09-06,4.542
2013-09-07,3.708
2013-09-08,3.625
2013-09-09,4.957
2013-09-10,4.375
2013-09-11,4.5
2013-09-12,3.958
2013-09-13,4.125
2013-09-14,3.792
2013-09-15,2.5
2013-09-16,2.174
2013-09-17,3.467
2013-09-18,4.615
2013-09-19,4.167
2013-09-20,3.958
2013-09-21,4.542
2013-09-22,3.75
2013-09-23,3.75
2013-09-24,4.083
2013-09-25,4.652
2013-09-26,2.917
2013-09-27,3.833
2013-09-28,4.25
2013-09-29,3.083
2013-09-30,3.864
2013-10-01,3.833
2013-10-02,7.333
2013-10-03,3.833
2013-10-04,7.292
2013-10-05,4.625
2013-10-06,4.333
2013-10-07,4.261
2013-10-08,4.083
2013-10-09,2.833
2013-10-10,4.208
2013-10-11,3.583
2013-10-12,3.042
2013-10-13,4.125
2013-10-14,4.261
2013-10-15,4.682
2013-10-16,2.667
2013-10-17,3.458
2013-10-18,4.0
2013-10-19,4.667
2013-10-20,4.625
2013-10-21,4.083
2013-10-22,4.478
2013-10-23,4.625
2013-10-24,4.833
2013-10-25,4.042
2013-10-26,3.875
2013-10-27,3.667
2013-10-28,5.375
2013-10-29,5.478
2013-10-30,4.833
2013-10-31,6.25
2013-11-01,7.182
2013-11-02,6.625
2013-11-03,5.417
2013-11-04,5.417
2013-11-05,6.333
2013-11-06,6.125
2013-11-07,5.333
2013-11-08,5.783
2013-11-09,5.458
2013-11-10,3.333
2013-11-11,2.792
2013-11-12,3.227
2013-11-13,3.917
2013-11-14,4.375
2013-11-15,5.167
2013-11-16,6.125
2013-11-17,4.167
2013-11-18,2.75
2013-11-19,3.957
2013-11-20,3.125
2013-11-21,3.833
2013-11-22,4.208
2013-11-23,4.708
2013-11-24,4.417
2013-11-25,4.909
2013-11-26,2.792
2013-11-27,3.625
2013-11-28,3.5
2013-11-29,3.375
2013-11-30,4.333
2013-12-01,5.292
2013-12-02,5.87
2013-12-03,4.792
2013-12-04,5.708
2013-12-05,5.917
2013-12-06,7.458
2013-12-07,5.0
2013-12-08,4.25
2013-12-09,6.87
2013-12-10,6.955
2013-12-11,4.292
2013-12-12,3.708
2013-12-13,3.625
2013-12-14,3.792
2013-12-15,4.375
2013-12-16,4.667
2013-12-17,5.773
2013-12-18,5.958
2013-12-19,4.625
2013-12-20,4.042
2013-12-21,5.333
2013-12-22,4.5
2013-12-23,5.125
2013-12-24,4.714
2013-12-25,4.917
2013-12-26,8.292
2013-12-27,5.292
2013-12-28,2.708
2013-12-29,3.583
2013-12-30,3.75
2013-12-31,3.783
2014-01-01,2.417
2014-01-02,2.792
2014-01-03,3.75
2014-01-04,4.583
2014-01-05,7.696
2014-01-06,4.727
2014-01-07,4.125
2014-01-08,4.125
2014-01-09,4.417
2014-01-10,4.333
2014-01-11,3.917
2014-01-12,3.5
2014-01-13,5.087
2014-01-14,6.167
2014-01-15,5.417
2014-01-16,6.125
2014-01-17,5.958
2014-01-18,4.25
2014-01-19,4.727
2014-01-20,7.0
2014-01-21,6.792
2014-01-22,6.125
2014-01-23,3.5
2014-01-24,4.75
2014-01-25,5.208
2014-01-26,7.826
2014-01-27,6.542
2014-01-28,4.708
2014-01-29,5.375
2014-01-30,5.958
2014-01-31,4.458
2014-02-01,3.333
2014-02-02,4.318
2014-02-03,4.583
2014-02-04,5.458
2014-02-05,4.727
2014-02-06,4.667
2014-02-07,5.208
2014-02-08,3.417
2014-02-09,3.167
2014-02-10,3.875
2014-02-11,4.875
2014-02-12,4.217
2014-02-13,3.25
2014-02-14,4.0
2014-02-15,5.125
2014-02-16,7.273
2014-02-17,6.375
2014-02-18,5.167
2014-02-19,4.043
2014-02-20,3.625
2014-02-21,4.375
2014-02-22,4.542
2014-02-23,6.5
2014-02-24,5.583
2014-02-25,6.208
2014-02-26,6.174
2014-02-27,3.583
2014-02-28,4.708
2014-03-01,4.917
2014-03-02,5.208
2014-03-03,8.091
2014-03-04,4.417
2014-03-05,3.792
2014-03-06,5.75
2014-03-07,6.333
2014-03-08,5.958
2014-03-09,6.167
2014-03-10,3.435
2014-03-11,3.208
2014-03-12,4.625
2014-03-13,4.25
2014-03-14,4.875
2014-03-15,4.875
2014-03-16,7.208
2014-03-17,6.19
2014-03-18,7.833
2014-03-19,6.042
2014-03-20,5.75
2014-03-21,5.875
2014-03-22,6.25
2014-03-23,4.458
2014-03-24,3.435
