Station ID,Prefecture Code,Prefecture Name,City Code,City Name,Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Altitude (m),Year Start,Month Start,Day Start,Year End,Month End,Day End
4206010,4,Miyagi-ken,4206,Shiroishi-shi,37,59,58,140,37,13,50,1976,4,,,,
4207510,4,Miyagi-ken,4207,Natori-shi,38,10,29,140,53,24,6,1988,1,,,,
4210010,4,Miyagi-ken,4105,Sendai-shi Izumi-ku,38,19,20,140,53,35,33,1975,7,,,,
4211010,4,Miyagi-ken,4211,Iwanuma-shi,38,6,40,140,52,3,5,1973,5,,,,
4323010,4,Miyagi-ken,4323,Shibata-machi,38,3,30,140,45,56,20,1974,5,,,,
4341010,4,Miyagi-ken,4341,Marumori-machi,37,51,26,140,49,11,50,1993,1,,,,
4362010,4,Miyagi-ken,4362,Yamamoto-cho,37,56,21,140,53,30,15,2003,4,1,,,
4401010,4,Miyagi-ken,4401,Matsushima-machi,38,23,25,141,4,23,20,1975,7,,,,
4406010,4,Miyagi-ken,4406,Rifu-cho,38,19,45,140,58,52,8,1971,7,,,,
4421010,4,Miyagi-ken,4421,Taiwa-cho,38,26,48,140,53,14,15,1975,7,,,,
4501010,4,Miyagi-ken,4501,Wakuya-cho,38,33,13,141,10,19,165,1975,7,,,,
4521010,4,Miyagi-ken,4213,Kurihara-shi,38,44,17,141,1,3,40,1996,4,,,,
4541010,4,Miyagi-ken,4212,Tome-shi,38,41,30,141,12,37,8,1995,3,,,,
4562020,4,Miyagi-ken,4214,Higashimatsushima-shi,38,25,27,141,12,56,3,1974,5,,,,
5201010,5,Akita-ken,5201,Akita-shi,39,45,39,140,4,52,8.6,2011,3,28,,,
5201030,5,Akita-ken,5201,Akita-shi,39,42,15,140,6,10,5.1,2011,10,20,,,
5201040,5,Akita-ken,5201,Akita-shi,39,40,46,140,7,49,7.1,1971,12,,,,
5201060,5,Akita-ken,5201,Akita-shi,39,47,43,140,7,21,22.6,1973,3,,,,
5201080,5,Akita-ken,5201,Akita-shi,39,45,39,140,3,54,3.4,2011,5,12,,,
5201120,5,Akita-ken,5201,Akita-shi,39,43,13,140,6,13,10,2016,4,27,,,
5201130,5,Akita-ken,5201,Akita-shi,39,40,38,140,5,7,7.9,2009,4,24,,,
5201340,5,Akita-ken,5201,Akita-shi,39,47,24,140,3,44,15.9,1979,11,,,,
5201370,5,Akita-ken,5201,Akita-shi,39,42,49,140,8,44,6.6,2000,3,,,,
5201530,5,Akita-ken,5201,Akita-shi,39,42,15,140,6,10,5.1,2011,10,20,,,
5202020,5,Akita-ken,5202,Noshiro-shi,40,12,36,140,1,7,9,1978,4,,,,
5202040,5,Akita-ken,5202,Noshiro-shi,40,10,13,140,7,6,21,1978,4,,,,
5203020,5,Akita-ken,5203,Yokote-shi,39,18,36,140,34,35,68,1974,5,,,,
5203520,5,Akita-ken,5203,Yokote-shi,39,18,20,140,33,26,63,1974,5,,2020,3,31
5204020,5,Akita-ken,5204,Oodate-shi,40,16,18,140,34,25,76,1974,1,,,,
5205010,5,Akita-ken,5210,Yurihonjyou-shi,39,22,58,140,3,15,7,1975,6,,,,
5206060,5,Akita-ken,5206,Oga-shi,39,53,16,139,50,54,21,1973,8,,,,
5208010,5,Akita-ken,5212,Daisen-shi,39,27,2,140,28,46,26,1974,10,,,,
5362010,5,Akita-ken,5211,Katagami-shi,39,52,12,140,3,58,5,1972,10,,2020,3,31
6201090,6,Yamagata-ken,6201,Yamagata-shi,38,16,15,140,20,28,121,1988,4,,,,
6201100,6,Yamagata-ken,6201,Yamagata-shi,38,13,1,140,19,11,128,1989,5,,2019,9,30
6201110,6,Yamagata-ken,6201,Yamagata-shi,38,12,43,140,18,56,121.3,2019,10,8,,,
6201510,6,Yamagata-ken,6201,Yamagata-shi,38,16,10,140,21,43,129,1994,4,,,,
6202010,6,Yamagata-ken,6202,Yonezawa-shi,37,55,11,140,6,49,243,1989,5,,,,
6203010,6,Yamagata-ken,6203,Tsuruoka-shi,38,44,21,139,49,37,14.9,1989,4,,,,
6204020,6,Yamagata-ken,6204,Sakata-shi,38,55,51,139,50,0,7,1971,9,,,,
6204040,6,Yamagata-ken,6204,Sakata-shi,38,56,56,139,53,41,7,1973,10,,,,
