date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-10-23,181.875,3.75,2.667,2.958,0.292,2.333,185.625
2011-10-24,181.542,4.333,3.875,5.333,1.458,2.792,185.875
2011-10-25,185.5,4.542,3.75,4.125,0.375,1.917,190.042
2011-10-26,189.714,3.381,3.952,4.619,0.667,0.905,193.095
2011-10-27,186.167,3.208,3.167,3.583,0.417,0.458,189.375
2011-10-28,184.292,2.917,3.708,3.833,0.125,0.208,187.208
2011-10-29,182.75,2.917,3.958,3.958,0.0,0.5,185.667
2011-10-30,181.875,2.542,2.125,2.125,0.0,0.0,184.417
2011-10-31,184.25,3.417,3.875,4.167,0.292,0.792,187.667
2011-11-01,184.208,3.833,2.542,2.875,0.333,0.167,188.042
2011-11-02,183.739,2.652,3.042,3.333,0.292,0.083,186.391
2011-11-03,183.417,2.458,2.667,2.75,0.083,0.125,185.875
2011-11-04,183.208,3.208,5.625,6.042,0.417,0.458,186.417
2011-11-05,181.667,3.292,4.583,5.292,0.708,0.375,184.958
2011-11-06,180.875,3.417,4.583,5.083,0.5,1.167,184.292
2011-11-07,183.083,3.542,3.167,3.667,0.5,0.917,186.625
2011-11-08,186.5,3.708,4.292,4.958,0.667,1.917,190.208
2011-11-09,188.565,4.174,3.792,4.208,0.417,0.208,192.739
2011-11-10,188.417,3.833,2.958,3.625,0.667,0.0,192.25
2011-11-11,187.143,5.143,6.714,8.524,1.81,1.0,192.286
2011-11-12,187.125,12.167,4.042,4.958,0.917,0.917,199.292
2011-11-13,189.292,4.667,2.833,3.083,0.25,0.583,193.958
2011-11-14,192.875,5.542,3.75,3.833,0.083,1.375,198.417
2011-11-15,193.375,6.5,6.083,6.958,0.875,2.5,199.875
2011-11-16,189.174,5.174,4.333,5.125,0.792,0.708,194.348
2011-11-17,187.25,5.375,3.708,4.417,0.708,0.375,192.625
2011-11-18,184.208,5.375,5.417,6.0,0.583,0.0,189.583
