date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-07-04,174.174,7.75,89.0,69.417,48.0,21.174,25.958,78.708,52.75,4.375,48.125,31.5,27.638,23.4,195.348
2011-07-05,180.087,5.917,90.0,60.625,34.0,14.391,18.292,37.25,18.958,3.208,28.833,31.0,26.517,23.2,194.478
2011-07-06,185.043,7.583,90.0,64.458,40.0,25.435,32.333,77.708,45.375,3.652,38.208,30.7,25.996,21.9,210.478
2011-07-07,171.818,7.636,90.0,85.875,83.0,24.227,23.391,96.87,73.478,3.5,26.227,25.5,24.362,23.4,196.045
2011-07-08,174.13,7.0,91.0,61.208,38.0,29.609,20.667,80.208,59.542,3.792,26.708,34.3,28.904,23.6,203.739
2011-07-09,171.913,7.458,77.0,52.5,29.0,24.304,19.208,72.5,53.292,4.042,20.833,35.7,30.338,26.0,196.217
2011-07-10,173.391,5.833,81.0,57.042,36.0,17.304,11.958,33.167,21.208,3.667,24.458,34.6,29.729,24.8,190.696
2011-07-11,171.174,5.958,80.0,62.5,38.0,20.87,18.625,66.167,47.542,3.375,18.667,33.3,28.738,25.7,192.043
2011-07-12,176.174,6.542,85.0,69.875,52.0,25.348,19.708,76.5,56.792,3.917,23.917,30.2,27.379,24.7,201.522
2011-07-13,173.739,6.333,87.0,57.625,34.0,19.87,20.708,68.167,47.458,3.913,24.167,34.1,28.738,24.0,193.609
2011-07-14,172.652,5.875,76.0,52.5,33.0,19.087,21.375,64.25,42.875,3.958,21.583,33.9,29.192,24.9,191.739
2011-07-15,174.857,6.091,77.0,53.833,28.0,21.095,25.783,62.435,36.652,4.045,26.391,35.7,29.679,24.9,195.952
2011-07-16,177.043,6.292,75.0,56.458,33.0,22.391,24.125,52.958,28.833,3.833,33.417,35.4,29.912,25.0,199.435
2011-07-17,170.652,4.583,78.0,61.208,41.0,12.217,6.708,15.167,8.458,3.042,18.333,33.9,29.0,24.9,182.87
2011-07-18,167.565,4.25,93.0,84.458,73.0,12.348,6.167,17.292,11.125,2.792,27.0,27.9,26.667,25.4,179.913
2011-07-19,165.87,3.792,87.0,77.875,68.0,9.565,5.875,19.833,13.958,2.792,16.333,27.5,26.046,23.9,175.435
2011-07-20,170.739,4.5,85.0,72.0,47.0,15.0,10.417,23.875,13.458,2.783,16.917,30.6,27.025,25.2,185.739
